name,reg,lamb,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant,celoss,wd,job_id,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
resnet32,3,0.5,0.1,0.0412338884341183,0.1489309668540954,0.3207689523696899,0.8971999999982057,0.9973999999980052,0.4305494129657745,0.196551039814949,0.3067960739135742,0.1000000014901161,0.0014594905078411,0,0.0005,42318077_3,True,cifar10_resnet32,0.4305494129657745,0.3157285451889038,0.0305327326059341,0.1489310264587402,0.5,0.0413307308944042,0,0.3207689523696899,0.8971999999982057,0.9973999999980052,0.3067960739135742,0.0238406136631965,0.0238434728235006,0.0007184483110904,0.2148740440607071,0.5,0.0238393652503888,0,0.3239108324050903,0.9302888888886822,0.9997555555553336,0.0061617903411388
resnet32,5,2.0,0.1,0.032166640165011,0.1673855036497116,0.2494850158691406,0.920999999998158,0.9975999999980047,0.4015682637691498,0.1705780178308487,0.2675040364265442,0.1000000014901161,0.0012631304562091,0,0.0005,42318077_17,True,cifar10_resnet32,0.4015682637691498,0.3296889066696167,0.2418109774589538,0.1673856675624847,2.0,0.0323376399303217,0,0.2494845986366272,0.920999999998158,0.9975999999980047,0.2675040364265442,0.0035767150111496,0.0035961375106126,0.0008048200979828,0.2899262011051178,2.0,0.0035739990183375,0,0.4659940898418426,0.989688888888669,0.9999999999997778,0.0004521775408647
resnet32,4,1.0,0.1,0.0320818106483446,0.3279769122600555,0.4369528889656067,0.9307999999981384,0.9977999999980044,0.6158037781715393,0.1591518074274063,0.2180079072713852,0.1000000014901161,0.0010392293334007,0,0.0005,42318077_10,True,cifar10_resnet32,0.6158037781715393,0.3285935223102569,0.072458803653717,0.3279771208763122,1.0,0.0316004167152891,0,0.4369529187679291,0.9307999999981384,0.9977999999980044,0.2180079072713852,0.0006480221636593,0.0006578561733476,2.9087532311677933e-05,0.4530581831932068,1.0,0.0006472204765793,0,0.6232845187187195,0.9986222222220004,0.9999999999997778,6.177871546242386e-05
resnet32,3,1.0,0.1,0.0387694705083834,0.1432463228702545,0.2394952774047851,0.90499999999819,0.9975999999980047,0.4053741097450256,0.1919867247343063,0.2973096370697021,0.1000000014901161,0.0014138780534267,0,0.0005,42318077_4,True,cifar10_resnet32,0.4053741097450256,0.3449597060680389,0.0978303551673889,0.143246129155159,1.0,0.038890695552454,0,0.2394952774047851,0.90499999999819,0.9975999999980047,0.2973096370697021,0.0194685794413089,0.0194766353815794,0.0019553042948246,0.2117410600185394,1.0,0.0194675393380932,0,0.4498057365417481,0.9423555555553462,0.9999555555553334,0.004388712812215
resnet32,3,0.1,0.1,0.0481951614600843,0.1119972765445709,0.1998902559280395,0.87999999999824,0.99499999999801,0.4285500943660736,0.2174757421016693,0.3670522272586822,0.1000000014901161,0.0017449669539928,0,0.0005,42318077_2,True,cifar10_resnet32,0.4285500943660736,0.2174763530492782,0.0017449669539928,0.111996941268444,0.1000000014901161,0.0481445448232373,0,0.1998894810676574,0.87999999999824,0.99499999999801,0.3670522570610046,0.032674640417099,0.028749655932188,5.262810736894607e-05,0.180508017539978,0.1000000014901161,0.0326653602620314,0,0.2970858812332153,0.9109777777775754,0.9989777777775558,0.0105690313503146
resnet32,5,1.0,0.1,0.0325047790841657,0.1678750216960907,0.2889630198478699,0.9257999999981484,0.9967999999980064,0.395946055650711,0.1718465983867645,0.2766827940940857,0.1000000014901161,0.0013036243617534,0,0.0005,42318077_16,True,cifar10_resnet32,0.395946055650711,0.2924147248268127,0.0846324265003204,0.167875051498413,1.0,0.0319528980952179,0,0.2889630198478699,0.9257999999981484,0.9967999999980064,0.2766827940940857,0.0043712565675377,0.0043805944733321,0.0002866694703698,0.2748281061649322,1.0,0.0043699345006558,0,0.8467774987220764,0.987733333333114,0.9999999999997778,0.0006153944414108
resnet32,4,0.01,0.1,0.0302235546370724,0.3810678422451019,0.4863440096378326,0.930999999998138,0.9977999999980044,0.7045022249221802,0.1500565558671951,0.1892970204353332,0.1000000014901161,0.0009063780307769,0,0.0005,42318077_7,True,cifar10_resnet32,0.7045022249221802,0.0569793693721294,9.766779839992523e-06,0.3810679912567138,0.0099999997764825,0.0306133178840992,0,0.486343652009964,0.930999999998138,0.9977999999980044,0.1892970204353332,0.000604523520451,0.0005957217072136,3.23189397022361e-07,0.5068883895874023,0.0099999997764825,0.0006038000738321,0,0.6764560341835022,0.9986222222220004,0.9999999999997778,7.050894782878458e-05
resnet32,4,2.0,0.1,0.030142848551103,0.3094287812709808,0.8100632429122925,0.9301999999981396,0.9981999999980036,0.5858142375946045,0.1597193926572799,0.219636783003807,0.1000000014901161,0.001046247780323,0,0.0005,42318077_11,True,cifar10_resnet32,0.5858142375946045,0.3928811252117157,0.2205572128295898,0.3094286024570465,2.0,0.0300310195273507,0,0.8100632429122925,0.9301999999981396,0.9981999999980036,0.219636783003807,0.0006489645456895,0.0006688038702122,0.000112511916086,0.4340715706348419,2.0,0.0006487646468519,0,0.6198136806488037,0.998777777777556,0.9999999999997778,6.196788308443502e-05
resnet32,5,0.5,0.1,0.0314198409515727,0.1677656173706054,0.2773467898368835,0.9213999999981572,0.997999999998004,0.4035718441009521,0.1730000972747802,0.2760578691959381,0.1000000014901161,0.0013013593852519,0,0.0005,42318077_15,True,cifar10_resnet32,0.4035718739032745,0.2647719383239746,0.0263346582651138,0.167766124010086,0.5,0.0319264877427924,0,0.2773467898368835,0.9213999999981572,0.997999999998004,0.2760578691959381,0.0053345449268817,0.0053388224914669,0.0001037959009408,0.2729654312133789,0.5,0.0053326930802735,0,0.8318947553634644,0.984155555555337,0.9999999999997778,0.0008644850458949
resnet32,3,0.01,0.1,0.0466149461222568,0.1350391954183578,0.2344048023223877,0.8843999999982313,0.9971999999980056,0.448234349489212,0.2143328636884689,0.351644217967987,0.1000000014901161,0.0016734935343265,0,0.0005,42318077_1,True,cifar10_resnet32,0.4482344090938568,0.0787738412618637,1.8194317817687988e-05,0.1350388526916504,0.0099999997764825,0.0466363060986272,0,0.234404981136322,0.8843999999982313,0.9971999999980056,0.351644217967987,0.0319441556930542,0.0123157333582639,9.14325937628746e-07,0.1939786672592163,0.0099999997764825,0.0319446975198965,0,0.3026888370513916,0.9136666666664636,0.9993111111108892,0.0099530331790447
