name,wd,reg,lamb,celoss,job_id,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:3,lamb:0.001",0.0005,3,0.001,1,42516418_0,True,cifar100_resnet20,1.3010127544403076,0.07428332418203354,2.1083978936076164e-06,0.019703205674886703,0.0010000000474974513,1.299537729567211,0,0.09225821495056152,0.6391999999987216,0.8823999999982353,2.8365330696105957,1.0821199417114258,0.05767490714788437,1.6069971024990082e-06,0.06611701846122742,0.0010000000474974513,1.082039380892591,0,0.11648821830749512,0.6892222222220691,0.922399999999795,1.708752155303955
"resnet20-reg:3,lamb:0.01",0.0005,3,0.01,1,42516418_1,True,cifar100_resnet20,1.3424782752990725,0.2329964339733124,0.00014772918075323105,0.03500106930732727,0.009999999776482582,1.336895775126535,0,0.09241659939289092,0.6271999999987456,0.8815999999982368,2.9690964221954346,1.0928844213485718,0.17787285149097443,8.652079850435257e-05,0.05886152386665344,0.009999999776482582,1.0928394167317084,0,0.09970861673355104,0.6813777777776264,0.9215999999997952,1.730062484741211
"resnet20-reg:3,lamb:0.1",0.0005,3,0.1,1,42516418_2,True,cifar100_resnet20,1.3242652416229248,0.627964437007904,0.012164369225502014,0.02098475769162178,0.10000000149011612,1.321896784836717,0,0.08945217728614807,0.616999999998766,0.88499999999823,2.685883045196533,1.0676486492156982,0.4732411205768585,0.006963804364204407,0.08649423718452454,0.10000000149011612,1.067656208446377,0,0.1261562705039978,0.6921333333331796,0.928533333333127,1.4937520027160645
"resnet32-reg:3,lamb:0.001",0.0005,3,0.001,1,42516418_0,True,cifar100_resnet32,1.3077200651168823,0.07560566812753677,2.1400628611445427e-06,0.0364757627248764,0.0010000000474974513,1.3149992101770036,0,0.09551545977592468,0.6315999999987368,0.8931999999982136,2.9403440952301025,1.0260648727416992,0.05759069696068764,8.649658411741257e-07,0.05748891830444336,0.0010000000474974513,1.0261654091246557,0,0.09012734889984132,0.7032444444442882,0.928422222222016,1.7069956064224243
"resnet20-reg:3,lamb:1.0",0.0005,3,1.0,1,42516418_4,True,cifar100_resnet20,1.187167763710022,1.1363859176635742,0.5925174951553345,0.015355128794908524,1.0,1.1818957829526389,0,0.08955089747905731,0.6613999999986773,0.9093999999981812,2.6524853706359863,0.7068772315979004,0.6507046818733215,0.22997617721557617,0.12711411714553833,1.0,0.7068127938567971,0,0.20065182447433472,0.796799999999823,0.9763555555553386,0.7566807270050049
"resnet20-reg:3,lamb:2.0",0.0005,3,2.0,1,42516418_5,True,cifar100_resnet20,1.1844637393951416,1.17665433883667,1.5599074363708496,0.023771721869707108,2.0,1.1843550139704293,0,0.09547987580299376,0.6647999999986705,0.9137999999981724,2.8897407054901123,0.6154154539108276,0.6037012338638306,0.5677964687347412,0.12671315670013428,2.0,0.6153416550283956,0,0.19709855318069455,0.8276444444442606,0.9817777777775596,0.6560918688774109
"resnet20-reg:3,lamb:0.5",0.0005,3,0.5,1,42516418_3,True,cifar100_resnet20,1.2217836380004885,1.0281903743743896,0.20220422744750977,0.01022513583302498,0.5,1.22143290577852,0,0.08532865345478058,0.6525999999986948,0.90499999999819,2.537682056427002,0.8288910984992981,0.6578446626663208,0.09004369378089905,0.11648546904325484,0.5,0.8288355597924592,0,0.18474912643432617,0.7576444444442761,0.9636444444442304,0.9577375650405884
"resnet32-reg:3,lamb:0.01",0.0005,3,0.01,1,42516418_1,True,cifar100_resnet32,1.2845826148986816,0.22543084621429443,0.00013811420649290085,0.032383307814598083,0.009999999776482582,1.287879287552624,0,0.1538633406162262,0.6323999999987352,0.8941999999982116,2.7874367237091064,0.996596097946167,0.1707766205072403,8.017197251319885e-05,0.06497366726398468,0.009999999776482582,0.996684548134419,0,0.09987515211105348,0.7111111111109532,0.9337777777775704,1.6119287014007568
"resnet32-reg:3,lamb:0.1",0.0005,3,0.1,1,42516418_2,True,cifar100_resnet32,1.2524476051330566,0.6246373653411865,0.012242943048477173,0.024937210604548454,0.10000000149011612,1.2567509644900328,0,0.08998393267393112,0.6391999999987216,0.8965999999982068,2.7192771434783936,0.9331963062286376,0.4441364705562592,0.006335951387882233,0.07766259461641312,0.10000000149011612,0.9332029070513608,0,0.12154358625411989,0.7271111111109496,0.9434222222220128,1.3645074367523191
"resnet32-reg:3,lamb:1.0",0.0005,3,1.0,1,42516418_4,True,cifar100_resnet32,1.1580228805541992,1.1248971223831177,0.6119527816772461,0.03685451298952103,1.0,1.162700282946024,0,0.09539620578289032,0.6701999999986596,0.9177999999981644,2.9096622467041016,0.5241377949714661,0.493573933839798,0.1634867787361145,0.11580054461956024,1.0,0.5242500469129348,0,0.19895172119140625,0.8508666666664776,0.9880888888886694,0.533637523651123
"resnet32-reg:3,lamb:2.0",0.0005,3,2.0,1,42516418_5,True,cifar100_resnet32,1.2486820220947266,1.2443803548812866,1.746920108795166,0.06331649422645569,2.0,1.2541341298508382,0,0.17495696246623993,0.6595999999986808,0.908999999998182,3.484276533126831,0.533724308013916,0.5268336534500122,0.4939651489257813,0.10888485610485076,2.0,0.533813605054685,0,0.24172267317771912,0.8458444444442565,0.986511111110892,0.580823540687561
"resnet20-reg:4,lamb:0.001",0.0005,4,0.001,1,42516418_6,True,cifar100_resnet20,1.306307315826416,0.09588812291622162,2.6345951482653618e-06,0.11216239631175996,0.0010000000474974513,1.3039884173310607,0,0.22142046689987183,0.6781999999986437,0.9041999999981916,4.760788440704346,0.284060537815094,0.023915715515613556,8.193019311875105e-07,0.08226770162582397,0.0010000000474974513,0.2840948098770383,0,0.19533979892730713,0.9258888888886831,0.9951999999997788,0.3033507466316223
"resnet32-reg:3,lamb:0.5",0.0005,3,0.5,1,42516418_3,True,cifar100_resnet32,1.174067497253418,1.0304887294769287,0.20928430557250977,0.02868221327662468,0.5,1.1825638347911795,0,0.09814246743917464,0.6641999999986716,0.9125999999981748,2.677173852920532,0.6943978071212769,0.5772019624710083,0.07655471563339233,0.10036690533161163,0.5,0.6944452622002808,0,0.16176468133926392,0.7920666666664907,0.9742888888886724,0.8185453414916992
"resnet44-reg:3,lamb:0.001",0.0005,3,0.001,1,42516418_0,True,cifar100_resnet44,1.2288421392440796,0.07502175867557526,1.4633405953645706e-06,0.04788603633642197,0.0010000000474974513,1.2272969835820606,0,0.0870940089225769,0.6507999999986984,0.8997999999982004,2.895462989807129,0.8975786566734314,0.053935278207063675,1.1249212548136711e-06,0.057499416172504425,0.0010000000474974513,0.8975793359799179,0,0.09772872924804688,0.7367111111109474,0.9437333333331236,1.5020601749420166
