SGD-IR,SGD-DA-IR,SGD-L2-DA-IR,SGD-L2-IR,SGD,SGD-L2-DA,SGD-L2,SGD-DA
0.37215739488601685,0.3854379653930664,0.33164945244789124,0.27644044160842896,0.5558063387870789,0.5416778922080994,0.5489704608917236,0.5053842067718506
0.4312921464443207,0.4224313497543335,0.4847160875797272,0.410971075296402,0.6661126613616943,0.7324929237365723,0.6788323521614075,0.5810906291007996
0.5196173191070557,0.49875521659851074,0.5198655128479004,0.509202241897583,0.7189406156539917,0.7076658010482788,0.7298688888549805,0.6860024333000183
0.5458164811134338,0.5476918816566467,0.5222967267036438,0.4894988238811493,0.7642926573753357,0.7811914086341858,0.7455873489379883,0.7786310315132141
0.6159112453460693,0.5760757923126221,0.5838015675544739,0.5768929719924927,0.8612905740737915,0.8084535598754883,0.7540069222450256,0.7966221570968628
0.6545583605766296,0.6620446443557739,0.6352932453155518,0.6343663930892944,0.8410528302192688,0.7622454166412354,0.7429494261741638,0.7720062136650085
0.6759623885154724,0.6289643049240112,0.6224897503852844,0.6790370345115662,0.842178463935852,0.8340075016021729,0.7488479018211365,0.824228048324585
0.7161968946456909,0.7043464183807373,0.6500155925750732,0.6554062366485596,0.8445178866386414,0.9385014772415161,0.7853296995162964,0.7924724817276001
0.7048901915550232,0.7217687368392944,0.6923340559005737,0.7241829037666321,0.881442129611969,0.9200485944747925,0.8228330016136169,0.8933421969413757
0.7256377935409546,0.7375057935714722,0.7109970450401306,0.6854827404022217,0.8416467905044556,0.8488752245903015,0.8761842250823975,0.834209144115448
0.7299759387969971,0.748508095741272,0.7730536460876465,0.7278540730476379,1.0041306018829346,0.8972324132919312,0.8702690005302429,0.9168877005577087
0.6885208487510681,0.776296079158783,0.7248619198799133,0.6943706274032593,0.9275139570236206,0.755100429058075,0.8862786293029785,0.8090739250183105
0.7154766321182251,0.7616026401519775,0.7884048223495483,0.6894921064376831,1.0036150217056274,0.727751612663269,0.7579907774925232,0.7709394693374634
0.7365798354148865,0.7806304097175598,0.8810961842536926,0.7704875469207764,1.0981744527816772,0.8724206686019897,0.8800892233848572,0.889336109161377
0.7296321988105774,0.7839164733886719,0.7860370874404907,0.72780442237854,1.1765060424804688,0.790290892124176,0.8948137760162354,0.8893269300460815
0.7406795024871826,0.7358925342559814,0.8162975907325745,0.7122043967247009,1.1968375444412231,0.7737852931022644,1.0383886098861694,0.7891300320625305
0.7656332850456238,0.797471284866333,0.802306592464447,0.7591764330863953,1.1322600841522217,0.8372295498847961,0.923190712928772,0.8942644596099854
0.774664580821991,0.791131317615509,0.7520929574966431,0.7529134154319763,1.1910202503204346,0.8787661194801331,0.9296719431877136,0.8090431094169617
0.7715799808502197,0.7423648238182068,0.8124421238899231,0.7115004062652588,1.2965086698532104,0.8366714715957642,0.9085546731948853,0.7701550126075745
0.8014395833015442,0.7961305975914001,0.8317450881004333,0.7136881351470947,1.4721318483352661,0.7859403491020203,0.9610271453857422,0.8374881148338318
0.7916510701179504,0.7571596503257751,0.757504403591156,0.6818190813064575,1.4873608350753784,0.8564110398292542,1.0258305072784424,0.8350093960762024
0.8070191144943237,0.8072471022605896,0.8609869480133057,0.7872779965400696,1.5715891122817993,0.7502413988113403,0.9548361301422119,0.854328989982605
0.8312655091285706,0.804948091506958,0.9698309898376465,0.7417765855789185,1.552135705947876,0.8959906101226807,1.0381532907485962,0.9593681693077087
0.7780943512916565,0.7614960074424744,0.7728598713874817,0.7053852677345276,1.6579291820526123,0.8731423616409302,0.935024082660675,0.8219824433326721
0.8233259916305542,0.768345832824707,0.7977538704872131,0.7720251679420471,1.689720630645752,0.8202350735664368,1.0451958179473877,0.8515177965164185
0.8437309265136719,0.7870403528213501,0.789490282535553,0.8439316749572754,1.7428959608078003,0.8180165886878967,0.934791088104248,0.8607134222984314
0.8483769297599792,0.7555880546569824,0.7894175052642822,0.8243792057037354,1.7465486526489258,0.8363952040672302,1.0528053045272827,0.9017397165298462
0.8584267497062683,0.8017902374267578,0.7930439114570618,0.81514972448349,1.8109976053237915,0.7594027519226074,1.0132263898849487,0.9059891104698181
0.8539596199989319,0.7217534184455872,0.8268279433250427,0.7754367589950562,1.9350194931030273,0.8141230940818787,0.9964601397514343,0.9184369444847107
0.8876279592514038,0.7831581830978394,0.8114650249481201,0.7990063428878784,1.9015356302261353,0.9968059659004211,1.0511043071746826,0.8719353675842285
0.923380970954895,0.8030197024345398,0.7573509216308594,0.7386267781257629,1.9475444555282593,0.8022245168685913,1.101767897605896,0.9629402160644531
0.9125440716743469,0.7314839959144592,0.8558861613273621,0.7698090672492981,1.9147071838378906,0.8360249400138855,1.0576541423797607,0.9060556292533875
0.9499982595443726,0.8037974834442139,0.8072933554649353,0.8027876615524292,1.9696091413497925,0.9558694958686829,1.0407627820968628,0.9347993731498718
0.9698082208633423,0.7925041317939758,0.8021968007087708,0.8281815648078918,1.9793016910552979,0.861143171787262,1.108795404434204,1.005002737045288
1.0081366300582886,0.742820680141449,0.6901748776435852,0.7466714382171631,1.971784234046936,0.893104076385498,1.1398745775222778,0.9248253107070923
0.996060848236084,0.869534969329834,0.9398112893104553,0.9219605922698975,2.0789642333984375,0.8858688473701477,1.0585217475891113,0.9562241435050964
1.0821014642715454,0.8187859654426575,0.7704499959945679,0.8061185479164124,2.0426578521728516,0.9196171164512634,1.1406320333480835,1.002339482307434
1.0813173055648804,0.7644189596176147,0.7810704708099365,0.7943549156188965,2.0403847694396973,0.864770770072937,1.0694485902786255,1.0451984405517578
1.1242575645446777,0.7884443402290344,0.8186094760894775,0.9193549752235413,2.0705294609069824,0.8018569946289062,1.1249744892120361,1.0007545948028564
1.0983271598815918,0.7364177703857422,0.7472840547561646,0.7846972346305847,2.084787130355835,0.7941349148750305,1.0228604078292847,1.0348005294799805
1.0808073282241821,0.8053025603294373,0.8489454388618469,0.8880553841590881,2.067902088165283,0.8363009095191956,1.1007802486419678,1.096397876739502
1.195572018623352,0.7736764550209045,0.7629292607307434,0.8513882160186768,2.070779323577881,0.8142375349998474,1.0945225954055786,1.1172997951507568
1.2188485860824585,0.7674351334571838,0.8384477496147156,0.7362916469573975,2.0879082679748535,0.9503082036972046,1.0998808145523071,1.0123463869094849
1.248497486114502,0.7777444124221802,0.8527777194976807,0.9036428332328796,2.1162092685699463,0.8908946514129639,1.1724817752838135,1.1009126901626587
1.3091837167739868,0.795985996723175,0.7976674437522888,0.760433554649353,2.1174631118774414,0.8317732214927673,1.1229239702224731,1.0408949851989746
1.2471325397491455,0.7906377911567688,0.775597333908081,0.7962753772735596,2.1121037006378174,0.9201761484146118,1.3014624118804932,1.131422519683838
1.2415839433670044,0.8069106936454773,0.8857096433639526,0.8800617456436157,2.121034622192383,0.8238056898117065,1.1212667226791382,1.1292508840560913
1.3355125188827515,0.7750257253646851,0.7193155288696289,0.8161500692367554,2.1213574409484863,0.7950842380523682,1.2115236520767212,1.082645058631897
1.3641266822814941,0.7784695625305176,0.8031088709831238,0.7879301309585571,2.131364583969116,0.9072331786155701,1.1588194370269775,1.1258320808410645
1.3701887130737305,0.8090770244598389,0.8573837876319885,0.8727760314941406,2.1424436569213867,0.8244300484657288,1.3226765394210815,1.1004713773727417
1.3590182065963745,0.854022741317749,0.7573775053024292,0.8390196561813354,2.1380438804626465,0.950065016746521,1.2699412107467651,1.1639033555984497
1.4089648723602295,0.8010774254798889,0.7985363006591797,0.8837301135063171,2.153533935546875,0.817898690700531,1.0961792469024658,1.1480964422225952
1.4174097776412964,0.7959887981414795,0.7414678335189819,0.7594616413116455,2.1450107097625732,0.9312165379524231,1.1308053731918335,1.1258594989776611
1.4085443019866943,0.7779645323753357,0.8490316867828369,0.7625821828842163,2.1553688049316406,0.9272245168685913,1.1498759984970093,1.1631189584732056
1.4015283584594727,0.8133876919746399,0.7670817971229553,0.7817519903182983,2.1466071605682373,0.9169213771820068,1.2189524173736572,1.2316287755966187
1.4905281066894531,0.7951472401618958,0.7990176677703857,0.8261650204658508,2.1625285148620605,0.8770784735679626,1.1720433235168457,1.2007622718811035
1.588875412940979,0.8324330449104309,0.8200467824935913,0.9990362524986267,2.1606340408325195,0.8349584341049194,1.1462185382843018,1.2597509622573853
1.5440292358398438,0.8482803702354431,0.8049145936965942,0.7870780229568481,2.172619104385376,0.8060854077339172,1.3694167137145996,1.2341169118881226
1.518776535987854,0.8053714632987976,0.7582817673683167,0.7826701402664185,2.1686301231384277,0.8586941361427307,1.1997994184494019,1.2970410585403442
1.6077954769134521,0.8475786447525024,0.7329614162445068,0.8396418690681458,2.166090726852417,0.9591898322105408,1.2177165746688843,1.2672741413116455
1.5540823936462402,0.7950469255447388,0.7372980117797852,0.8082404732704163,2.179408311843872,0.8239201903343201,1.1707446575164795,1.2861335277557373
1.6402919292449951,0.7995720505714417,0.7656431794166565,0.7849742770195007,2.1916451454162598,0.900128185749054,1.200378179550171,1.283335566520691
1.5915369987487793,0.8204098343849182,0.9445105791091919,0.8524057865142822,2.194462299346924,0.8503771424293518,1.2483177185058594,1.2671555280685425
1.6477243900299072,0.8547350764274597,0.7965052723884583,0.8140950202941895,2.1832568645477295,0.8382772207260132,1.2465745210647583,1.2958545684814453
1.635589361190796,0.9026933312416077,0.7347056865692139,0.821772038936615,2.1883060932159424,0.8817864656448364,1.3484653234481812,1.3427242040634155
1.6275326013565063,0.8872061371803284,0.7893399000167847,0.8157679438591003,2.192533493041992,0.9131870269775391,1.2865489721298218,1.2655913829803467
1.666238784790039,0.8267761468887329,0.7067556381225586,0.8025232553482056,2.1822822093963623,0.8557003736495972,1.229048728942871,1.2987579107284546
1.745762825012207,0.8181498646736145,0.748572826385498,0.8681839108467102,2.197720766067505,0.808760404586792,1.159912109375,1.2979236841201782
1.6991245746612549,0.8614593744277954,0.7509852647781372,0.7929937839508057,2.1976311206817627,0.9130862355232239,1.2579829692840576,1.305116891860962
1.7489975690841675,0.8561879992485046,0.7598438262939453,0.8367111682891846,2.2063684463500977,0.8966590762138367,1.1669068336486816,1.3612767457962036
1.7177683115005493,0.8637113571166992,0.8719853162765503,0.9619666934013367,2.2044241428375244,0.8580775260925293,1.3176902532577515,1.3679345846176147
1.7386380434036255,0.8761605620384216,0.8789370656013489,0.8226159811019897,2.1919808387756348,0.8185710310935974,1.2585710287094116,1.3377623558044434
1.7301994562149048,0.8706017136573792,0.7880741953849792,0.8280574083328247,2.210707187652588,0.8922104835510254,1.1981964111328125,1.341398000717163
1.7770277261734009,0.9053401350975037,0.7861767411231995,0.8273956775665283,2.2131693363189697,0.8834075927734375,1.2269822359085083,1.4012792110443115
1.7912731170654297,0.9216129183769226,0.7545204162597656,0.8206667304039001,2.2150626182556152,0.8817336559295654,1.2432470321655273,1.4039955139160156
1.8186007738113403,0.9342150688171387,0.8241716027259827,0.8480862975120544,2.214000940322876,0.8873590230941772,1.2306082248687744,1.4439918994903564
1.7947659492492676,0.8830440640449524,0.7339488863945007,0.8232572674751282,2.2110140323638916,0.7899144291877747,1.2321161031723022,1.408617615699768
1.8046901226043701,0.8605128526687622,0.8223505616188049,0.8526533246040344,2.215648889541626,0.796486496925354,1.3183891773223877,1.498576045036316
1.8130855560302734,0.9148777723312378,0.8576169013977051,0.8276376128196716,2.2213006019592285,0.9822540879249573,1.2147438526153564,1.4520293474197388
1.8373878002166748,0.8833357691764832,0.7881273031234741,0.9000239968299866,2.2265260219573975,0.9562985301017761,1.3742026090621948,1.5047937631607056
1.8043558597564697,0.9150462746620178,0.7112187147140503,0.8177772164344788,2.2196266651153564,0.9909035563468933,1.336241364479065,1.5006364583969116
1.8412116765975952,0.9122467637062073,0.7621367573738098,0.9077012538909912,2.2191779613494873,0.9964005351066589,1.3091621398925781,1.4733670949935913
1.831409215927124,0.9022279977798462,0.7240176200866699,0.865333616733551,2.2180140018463135,0.9062305092811584,1.253692626953125,1.5026894807815552
1.838144302368164,0.9648603796958923,0.7225601077079773,0.9006777405738831,2.2247464656829834,0.8738173246383667,1.248825192451477,1.5230202674865723
1.8389999866485596,1.030685544013977,0.8374515771865845,0.9476826190948486,2.2316219806671143,1.0076712369918823,1.4540104866027832,1.5541245937347412
1.8489806652069092,0.8993287086486816,0.7893305420875549,0.873765766620636,2.2318241596221924,0.9013239741325378,1.3131166696548462,1.5073202848434448
1.8512998819351196,0.8996505737304688,0.7885501980781555,0.9071921110153198,2.235283374786377,0.8066155910491943,1.2966828346252441,1.5150190591812134
