SGD-DA,SGD-L2,SGD-L2-DA,SGD,SGD-IR,SGD-DA-IR,SGD-L2-DA-IR,SGD-L2-IR
4.0753865242004395,3.7507195472717285,4.005272388458252,3.964292526245117,4.273373126983643,4.329913139343262,4.2876434326171875,4.348233699798584
3.6426584720611572,3.5203857421875,3.866384983062744,3.4626874923706055,4.038724899291992,4.059095859527588,4.132383823394775,4.063685894012451
3.473703145980835,3.0715959072113037,3.2398040294647217,3.0628788471221924,3.7541677951812744,3.860332727432251,3.9741976261138916,3.8111085891723633
3.2213845252990723,2.594510793685913,2.9315991401672363,2.8673996925354004,3.62400221824646,3.77843976020813,3.7851428985595703,3.726924419403076
2.888352870941162,2.4354355335235596,2.6557424068450928,2.7633960247039795,3.3895115852355957,3.527070999145508,3.7128992080688477,3.425166368484497
2.535890579223633,2.3550641536712646,2.4603679180145264,2.576493978500366,3.2886295318603516,3.4873414039611816,3.543534278869629,3.2327768802642822
2.4119789600372314,2.1623342037200928,2.5195791721343994,2.5200917720794678,3.138205051422119,3.365809679031372,3.3728835582733154,3.3866560459136963
2.311016321182251,2.166893243789673,2.6760332584381104,2.289820909500122,3.08860182762146,3.2912964820861816,3.3704354763031006,2.993989944458008
2.3756401538848877,2.197509527206421,2.5322351455688477,2.306765556335449,2.7882213592529297,3.024764060974121,3.1156156063079834,2.9732699394226074
2.232426881790161,2.3177568912506104,2.2067956924438477,2.1603119373321533,2.649904251098633,2.9287734031677246,2.870704174041748,2.6610429286956787
2.340374231338501,2.1564295291900635,2.335932731628418,2.5328006744384766,2.702883243560791,2.8820674419403076,2.9865825176239014,2.728393316268921
1.9845846891403198,2.1735799312591553,1.936232328414917,2.273860454559326,2.3888256549835205,2.7784178256988525,2.662921905517578,2.531982183456421
1.8551160097122192,1.8635077476501465,1.7857412099838257,2.3226850032806396,2.4288597106933594,2.573593854904175,2.7300572395324707,2.4647819995880127
2.2058002948760986,2.2600672245025635,2.1542084217071533,2.5463404655456543,2.376271963119507,2.583317995071411,2.7517189979553223,2.5820226669311523
2.0866713523864746,2.190485954284668,1.9086893796920776,2.596146821975708,2.276836633682251,2.4762396812438965,2.6653270721435547,2.467745780944824
1.7556324005126953,2.46940279006958,1.82839834690094,2.6789472103118896,2.152134656906128,2.3952817916870117,2.8302879333496094,2.3379664421081543
1.9430073499679565,2.102626085281372,1.9928572177886963,2.469799518585205,2.2800378799438477,2.371255397796631,2.4918642044067383,2.429201126098633
1.7497445344924927,2.134171485900879,2.016376495361328,2.5308289527893066,2.1800620555877686,2.313965320587158,2.317401885986328,2.285820245742798
1.6843464374542236,2.0874109268188477,1.9523614645004272,2.734037160873413,2.1659305095672607,2.174865245819092,2.4409494400024414,2.223576784133911
1.7861425876617432,2.2155373096466064,1.7580980062484741,3.1220855712890625,2.152650833129883,2.2501237392425537,2.347569465637207,2.152721405029297
1.7200735807418823,2.460569381713867,2.097998857498169,3.1019365787506104,2.130516290664673,2.1122970581054688,2.275491714477539,2.1384499073028564
1.695642113685608,2.1522507667541504,1.693881630897522,3.2309532165527344,2.117180824279785,2.165269136428833,2.525296211242676,2.378278970718384
1.9110432863235474,2.288160562515259,1.9932167530059814,3.154695987701416,2.0939080715179443,2.1260898113250732,2.6858818531036377,2.2213776111602783
1.6638351678848267,2.1174750328063965,2.062941789627075,3.296112298965454,1.9539655447006226,2.006286144256592,2.416682004928589,2.1843278408050537
1.6815874576568604,2.3311734199523926,1.8243069648742676,3.38435697555542,2.016897678375244,2.0363264083862305,2.2332370281219482,2.246547222137451
1.6933435201644897,2.119112730026245,1.7949460744857788,3.499077558517456,2.0549914836883545,1.9901163578033447,2.2408175468444824,2.4315507411956787
1.7233887910842896,2.203765869140625,1.7573270797729492,3.4242632389068604,2.0167131423950195,1.896844506263733,2.2023377418518066,2.211089849472046
1.7503026723861694,2.2060177326202393,1.61690092086792,3.6389718055725098,2.0472257137298584,1.9389657974243164,2.1295151710510254,2.1776487827301025
1.7097370624542236,2.1274659633636475,1.7761582136154175,3.7713334560394287,2.051806688308716,1.8022507429122925,2.3092541694641113,2.1840999126434326
1.6530497074127197,2.3017542362213135,2.106393337249756,3.6845037937164307,2.065056562423706,1.932410717010498,2.16652774810791,2.129075527191162
1.7794082164764404,2.395768642425537,1.7333663702011108,3.7940514087677,2.095241069793701,1.921303629875183,2.1308445930480957,2.112950086593628
1.7027870416641235,2.3022701740264893,1.8270307779312134,3.795163869857788,2.0502121448516846,1.7785990238189697,2.464728832244873,2.1656405925750732
1.737546682357788,2.220784902572632,2.0662312507629395,3.8121414184570312,2.111386775970459,1.8328359127044678,2.1411798000335693,2.09200119972229
1.837803840637207,2.4090492725372314,1.8466596603393555,3.7626519203186035,2.170825719833374,1.8861030340194702,2.089907646179199,2.177415609359741
1.6994589567184448,2.5527565479278564,1.9596734046936035,3.713366985321045,2.2018492221832275,1.7119370698928833,1.8303722143173218,1.9824210405349731
1.7285780906677246,2.222951889038086,1.8826104402542114,3.848104476928711,2.145582675933838,1.9225322008132935,2.347071409225464,2.402841091156006
1.8220338821411133,2.6068851947784424,1.9506964683532715,3.8371992111206055,2.2850749492645264,1.8109914064407349,2.0528807640075684,2.10834002494812
