name,wd,reg,lamb,celoss,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_resnet20,1.1559717655181885,0.6854999661445618,0.015203893184661863,0.07379496097564697,0.10000000149011612,1.1524856919248252,0,0.1381857991218567,0.691999999998616,0.912999999998174,3.473788261413574,0.3408050239086151,0.2048574835062027,0.001766204833984375,0.1009843721985817,0.10000000149011612,0.3407945357577449,0,0.2271440029144287,0.9163333333331296,0.9925333333331128,0.379524827003479
"resnet32-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_resnet32,1.1794618368148804,0.7439532279968262,0.017986811697483063,0.11100804060697556,0.10000000149011612,1.1870216989542568,0,0.22077685594558716,0.6983999999986032,0.9195999999981608,4.194535732269287,0.13699987530708313,0.0905740037560463,0.0004582200199365616,0.07306387275457382,0.10000000149011612,0.1370221048684999,0,0.28006839752197266,0.9781999999997828,0.9991333333331114,0.09690693020820618
"resnet44-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_resnet44,1.17988121509552,0.7783694863319397,0.01978924125432968,0.12027505040168762,0.10000000149011612,1.175328459748067,0,0.22056692838668823,0.713999999998572,0.923999999998152,4.674595355987549,0.06417810916900635,0.04377761855721474,0.00013500405475497246,0.045885782688856125,0.10000000149011612,0.06419071683888089,0,0.3522837460041046,0.9944666666664458,0.9998444444442224,0.028034871444106105
"resnet56-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_resnet56,1.1577601432800293,0.7724353075027466,0.019452057778835297,0.1228715255856514,0.10000000149011612,1.1535929554893352,0,0.27501410245895386,0.7185999999985628,0.9231999999981536,4.565771102905273,0.037996381521224976,0.02599700167775154,5.360553041100502e-05,0.03077891655266285,0.10000000149011612,0.038000658184078114,0,0.5881386995315552,0.9980888888886672,0.9999777777775556,0.01107371225953102
"vgg11_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_vgg11_bn,1.35260009765625,0.8839271664619446,0.024266615509986877,0.13220176100730896,0.10000000149011612,1.3586975746513854,0,0.26777952909469604,0.7055999999985888,0.898999999998202,5.704746723175049,0.007499710191041231,0.005960346665233374,8.012400940060616e-06,0.006273692008107901,0.10000000149011612,0.007505026423284568,0,0.7008427977561951,0.9996444444442224,0.9999999999997778,0.0016530792927369475
"vgg13_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_vgg13_bn,1.1312246322631836,0.7874038219451904,0.020267970860004425,0.11214928328990936,0.10000000149011612,1.1315282368962796,0,0.2874293923377991,0.7447999999985104,0.9205999999981588,4.798666954040527,0.006748601794242859,0.005348052363842726,7.288181222975254e-06,0.0055635664612054825,0.10000000149011612,0.006745897301893757,0,0.34097763895988464,0.9995555555553336,0.9999999999997778,0.0014168873894959688
"vgg16_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_vgg16_bn,1.2947120666503906,0.9396494030952454,0.027902990579605103,0.15977202355861664,0.10000000149011612,1.2992662780941109,0,0.3897455930709839,0.7471999999985056,0.916999999998166,6.7584381103515625,0.007655630819499493,0.005547628737986088,1.216039527207613e-05,0.0059031411074101925,0.10000000149011612,0.007656473942480882,0,0.822091817855835,0.9993777777775558,0.9999999999997778,0.002473742701113224
"vgg19_bn-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_vgg19_bn,1.3721104860305786,1.0104097127914429,0.032381266355514526,0.16021636128425598,0.10000000149011612,1.372692900209726,0,0.38124608993530273,0.7463999999985073,0.911999999998176,8.141337394714355,0.009639068506658076,0.007050252519547939,1.976930070668459e-05,0.007286771666258573,0.10000000149011612,0.009649184881161269,0,0.275640070438385,0.9992444444442224,0.9999999999997778,0.004185956437140703
"repvgg_a0-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_repvgg_a0,0.9821320176124572,0.6734270453453064,0.01524066925048828,0.08683573454618454,0.10000000149011612,0.9870775009226676,0,0.17066141963005066,0.75499999999849,0.9335999999981328,3.5269761085510254,0.007770503871142864,0.0048833731561899185,4.574190825223923e-06,0.007009885273873806,0.10000000149011612,0.007772362107943071,0,0.24539047479629517,0.9996444444442224,0.9999999999997778,0.0008169216453097761
"repvgg_a1-reg:10,lamb:0.1",0.0005,10,0.1,1,43472234,False,True,cifar100_repvgg_a1,0.9215433597564696,0.6375014185905457,0.013869114220142365,0.070201575756073,0.10000000149011612,0.9180032218873042,0,0.1565423607826233,0.7687999999984624,0.9375999999981248,3.2068686485290527,0.005520612932741642,0.0033798941876739264,3.698572982102633e-06,0.004829371813684702,0.10000000149011612,0.005520783537759197,0,0.30027061700820923,0.9996666666664444,0.9999999999997778,0.0006674171891063452
