SGD-DA,SGD-L2,SGD-L2-DA,SGD,SGD-IR,SGD-DA-IR,SGD-L2-DA-IR,SGD-L2-IR
0.003078264417126775,0.003621584502980113,0.0034049153327941895,0.0037624603137373924,0.37215739488601685,0.3854379653930664,0.33164945244789124,0.27644044160842896
0.003964712377637625,0.005702183116227388,0.008141562342643738,0.005369765218347311,0.4312921464443207,0.4224313497543335,0.4847160875797272,0.410971075296402
0.005839351564645767,0.006766579579561949,0.006253329571336508,0.00648565124720335,0.5196173191070557,0.49875521659851074,0.5198655128479004,0.509202241897583
0.007658588234335184,0.007374570704996586,0.007863311097025871,0.007567348424345255,0.5458164811134338,0.5476918816566467,0.5222967267036438,0.4894988238811493
0.008063091896474361,0.007530275732278824,0.00849951896816492,0.00985843688249588,0.6159112453460693,0.5760757923126221,0.5838015675544739,0.5768929719924927
0.00801819283515215,0.007302073296159506,0.007787312846630812,0.009182685054838657,0.6545583605766296,0.6620446443557739,0.6352932453155518,0.6343663930892944
0.009382260031998158,0.007758478168398142,0.0094224214553833,0.00951324962079525,0.6759623885154724,0.6289643049240112,0.6224897503852844,0.6790370345115662
0.008597967214882374,0.00873204693198204,0.01234003808349371,0.009969448670744896,0.7161968946456909,0.7043464183807373,0.6500155925750732,0.6554062366485596
0.01121694315224886,0.009400177747011185,0.011744198389351368,0.010885349474847317,0.7048901915550232,0.7217687368392944,0.6923340559005737,0.7241829037666321
0.009729712270200253,0.010698956437408924,0.010039474815130234,0.009954414330422878,0.7256377935409546,0.7375057935714722,0.7109970450401306,0.6854827404022217
0.011803926900029182,0.010711313225328922,0.011159068904817104,0.014207880944013596,0.7299759387969971,0.748508095741272,0.7730536460876465,0.7278540730476379
0.00948688667267561,0.011200878769159317,0.008165453560650349,0.012146436609327793,0.6885208487510681,0.776296079158783,0.7248619198799133,0.6943706274032593
0.008667993359267712,0.008202114142477512,0.007625428959727287,0.014572634361684322,0.7154766321182251,0.7616026401519775,0.7884048223495483,0.6894921064376831
0.011574693955481052,0.010796374641358852,0.01081037987023592,0.01741342805325985,0.7365798354148865,0.7806304097175598,0.8810961842536926,0.7704875469207764
0.011605587787926197,0.011445557698607445,0.008883221074938774,0.01997782476246357,0.7296321988105774,0.7839164733886719,0.7860370874404907,0.72780442237854
0.009362899698317051,0.015346011146903038,0.00873493030667305,0.020948508754372597,0.7406795024871826,0.7358925342559814,0.8162975907325745,0.7122043967247009
0.011988054029643536,0.012375462800264359,0.010166551917791367,0.018695317208766937,0.7656332850456238,0.797471284866333,0.802306592464447,0.7591764330863953
0.00980200432240963,0.012707263231277466,0.011119524948298931,0.02067231759428978,0.774664580821991,0.791131317615509,0.7520929574966431,0.7529134154319763
0.008939962834119797,0.011712274514138699,0.009953178465366364,0.024577921256422997,0.7715799808502197,0.7423648238182068,0.8124421238899231,0.7115004062652588
0.010557874105870724,0.013297541998326778,0.009086914360523224,0.031315047293901443,0.8014395833015442,0.7961305975914001,0.8317450881004333,0.7136881351470947
0.010712137445807457,0.014738019555807114,0.010489908047020435,0.032256487756967545,0.7916510701179504,0.7571596503257751,0.757504403591156,0.6818190813064575
0.011377899907529354,0.013281682506203651,0.008352155797183514,0.036208223551511765,0.8070191144943237,0.8072471022605896,0.8609869480133057,0.7872779965400696
0.014189756475389004,0.015901481732726097,0.01179156918078661,0.03503219783306122,0.8312655091285706,0.804948091506958,0.9698309898376465,0.7417765855789185
0.010362830944359303,0.012461141683161259,0.010864341631531715,0.04062769189476967,0.7780943512916565,0.7614960074424744,0.7728598713874817,0.7053852677345276
0.011031991802155972,0.01567925326526165,0.00991631206125021,0.041769735515117645,0.8233259916305542,0.768345832824707,0.7977538704872131,0.7720251679420471
0.011399422772228718,0.012411711737513542,0.009870588779449463,0.044712066650390625,0.8437309265136719,0.7870403528213501,0.789490282535553,0.8439316749572754
0.012761944904923439,0.01628950983285904,0.01063593290746212,0.0449787862598896,0.8483769297599792,0.7555880546569824,0.7894175052642822,0.8243792057037354
0.012680488638579845,0.01516682654619217,0.008772517554461956,0.04752052575349808,0.8584267497062683,0.8017902374267578,0.7930439114570618,0.81514972448349
0.01345149613916874,0.01464863307774067,0.009853288531303406,0.054395027458667755,0.8539596199989319,0.7217534184455872,0.8268279433250427,0.7754367589950562
0.012020492926239967,0.015786556527018547,0.015088150277733803,0.053191401064395905,0.8876279592514038,0.7831581830978394,0.8114650249481201,0.7990063428878784
0.01479033287614584,0.01763668842613697,0.009452697820961475,0.055600713938474655,0.923380970954895,0.8030197024345398,0.7573509216308594,0.7386267781257629
0.012828572653234005,0.016091376543045044,0.01032019779086113,0.05333887040615082,0.9125440716743469,0.7314839959144592,0.8558861613273621,0.7698090672492981
0.013843744993209839,0.01580365188419819,0.013099202886223793,0.0572405569255352,0.9499982595443726,0.8037974834442139,0.8072933554649353,0.8027876615524292
0.016031648963689804,0.017630303278565407,0.010967938229441643,0.058367565274238586,0.9698082208633423,0.7925041317939758,0.8021968007087708,0.8281815648078918
0.013929321430623531,0.018557118251919746,0.011781477369368076,0.05822256952524185,1.0081366300582886,0.742820680141449,0.6901748776435852,0.7466714382171631
0.01478765532374382,0.01628332957625389,0.011487161740660667,0.06473211199045181,0.996060848236084,0.869534969329834,0.9398112893104553,0.9219605922698975
0.01607922464609146,0.01848379708826542,0.012716943398118019,0.061840858310461044,1.0821014642715454,0.8187859654426575,0.7704499959945679,0.8061185479164124
