name,reg,lamb,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant,celoss,wd,job_id,lamb_wd,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
shufflenetv2_x1_5,10,0.1,0.1,0.1701363849534268,0.0220293644815683,0.1982778906822204,0.9451999999981096,0.9985999999980028,0.1716289818286895,0.1666806489229202,0.5661001801490784,0.1000000014901161,0.0024353060871362,1,0.0005,43472234,False,True,cifar10_shufflenetv2_x1_5,0.1716289818286895,0.1666806638240814,0.0024353060871362,0.0220281668007373,0.1000000014901161,0.1750529616195887,0,0.1982777714729309,0.9451999999981096,0.9985999999980028,0.5661001205444336,0.0029434477910399,0.001732001081109,6.131012924015522e-07,0.002771986881271,0.1000000014901161,0.002945224726564,0,0.3016741275787353,0.9999999999997778,0.9999999999997778,5.027250881539658e-05
vgg16_bn,10,0.1,0.1,0.1978015831613969,0.0307537093758583,0.3010960221290588,0.9467999999981064,0.9987999999980024,0.1968963146209716,0.1950610429048538,0.830196738243103,0.1000000014901161,0.0034971944987773,1,0.0005,43472234,False,True,cifar10_vgg16_bn,0.1968960464000702,0.1950607448816299,0.0034971684217453,0.030751971527934,0.1000000014901161,0.1983339174590262,0,0.3010958433151245,0.9467999999981064,0.9987999999980024,0.830194890499115,0.0022608339786529,0.0015521011082455,4.830973921343684e-06,0.0018786824075505,0.1000000014901161,0.0022610680348362,0,0.4506938755512237,0.9999333333331112,0.9999555555553334,0.0009284710977226
shufflenetv2_x0_5,10,0.1,0.1,0.2594676560356275,0.0260548163205385,0.2653786838054657,0.9135999999981728,0.9961999999980076,0.2599702477455139,0.233964055776596,0.7546947598457336,0.1000000014901161,0.0032795518636703,1,0.0005,43472234,False,True,cifar10_shufflenetv2_x0_5,0.2599702477455139,0.2339640706777573,0.0032795518636703,0.0260553732514381,0.1000000014901161,0.2574052749777274,0,0.2653786540031433,0.9135999999981728,0.9961999999980076,0.7546947598457336,0.0424453914165496,0.0347797498106956,0.0001103607937693,0.024919643998146,0.1000000014901161,0.0424584331051452,0,0.229100227355957,0.9931111111108905,0.9999777777775556,0.0231478903442621
vgg19_bn,10,0.1,0.1,0.1906664690912111,0.028702974319458,0.282124400138855,0.9473999999981052,0.9977999999980044,0.1932399272918701,0.1912388801574707,0.8053091168403625,0.1000000014901161,0.0033861864358186,1,0.0005,43472234,False,True,cifar10_vgg19_bn,0.1932400166988372,0.1912389397621154,0.0033861957490444,0.0286998469382524,0.1000000014901161,0.1918378851348607,0,0.282124400138855,0.9473999999981052,0.9977999999980044,0.80530846118927,0.0024909111671149,0.0018144306959584,4.9505033530294895e-06,0.0019893690478056,0.1000000014901161,0.0024901151289245,0,0.4056176245212555,0.9998444444442224,0.9999777777775556,0.0009330345783382
resnet44,10,0.1,0.1,0.1939188654496247,0.0245282799005508,0.3934438526630401,0.9423999999981152,0.9971999999980056,0.1922903805971145,0.1869778931140899,0.7065249681472778,0.1000000014901161,0.0029965471476316,1,0.0005,43472234,False,True,cifar10_resnet44,0.1922903805971145,0.1869779229164123,0.0029965471476316,0.024527583271265,0.1000000014901161,0.1915028854247068,0,0.3934437930583954,0.9423999999981152,0.9971999999980056,0.7065249681472778,0.0049220519140362,0.0036287538241595,2.9702787287533283e-06,0.0045027094893157,0.1000000014901161,0.0049227790544399,0,0.5389012098312378,0.9999333333331112,0.9999777777775556,0.0006004452006891
resnet32,10,0.1,0.1,0.1965458896891029,0.0250289812684059,0.2717584371566772,0.938999999998122,0.9985999999980028,0.2001219689846038,0.1928626149892807,0.7244231700897217,0.1000000014901161,0.0030596833676099,1,0.0005,43472234,False,True,cifar10_resnet32,0.2001219689846038,0.1928626447916031,0.0030596815049648,0.0250298902392387,0.1000000014901161,0.2011370538659536,0,0.2717584371566772,0.938999999998122,0.9985999999980028,0.7244232296943665,0.0073695462197065,0.0057295751757919,4.532746970653534e-06,0.0068459566682577,0.1000000014901161,0.0073671530046949,0,0.6615943908691406,0.9999555555553334,0.9999999999997778,0.0008002312388271
mobilenetv2_x0_75,10,0.1,0.1,0.1772736798085523,0.0201721303164958,0.2817194759845733,0.9455999999981088,0.9977999999980044,0.1746688485145568,0.1691173315048217,0.5908228158950806,0.1000000014901161,0.0025323443114757,1,0.0005,43472234,False,True,cifar10_mobilenetv2_x0_75,0.1746705472469329,0.1691190302371978,0.002531562000513,0.0201726499944925,0.1000000014901161,0.1728021091848869,0,0.2817194759845733,0.9455999999981088,0.9977999999980044,0.5908305048942566,0.005742710083723,0.004117417614907,2.066371962428093e-06,0.0053858831524848,0.1000000014901161,0.0057468200033038,0,0.4087871313095093,0.9999555555553334,0.9999999999997778,0.0004019533807877
repvgg_a0,10,0.1,0.1,0.1796878594006698,0.0259950906038284,0.2355207204818725,0.9483999999981032,0.9987999999980024,0.1804083436727523,0.1778850257396698,0.7116040587425232,0.1000000014901161,0.0030195116996765,1,0.0005,43472234,False,True,cifar10_repvgg_a0,0.1804083436727524,0.1778850257396698,0.0030185561627149,0.0259954780340194,0.1000000014901161,0.1833842388368643,0,0.2355207204818725,0.9483999999981032,0.9987999999980024,0.7116040587425232,0.0021715867333114,0.0012849752092733,6.745976861566305e-07,0.0020017132628709,0.1000000014901161,0.0021712987031612,0,0.4383611679077149,0.9999999999997778,0.9999999999997778,3.426498005865142e-05
mobilenetv2_x1_4,10,0.1,0.1,0.1431266394659499,0.0176710300147533,0.3847724795341491,0.9555999999980888,0.9985999999980028,0.145425945520401,0.1421205401420593,0.4724369049072265,0.1000000014901161,0.0020456481724977,1,0.0005,43472234,False,True,cifar10_mobilenetv2_x1_4,0.145425945520401,0.1421205401420593,0.0020446944981813,0.0176719762384891,0.1000000014901161,0.1455127629655212,0,0.3847724795341492,0.9555999999980888,0.9985999999980028,0.4724369049072265,0.0032437706831842,0.001982437679544,1.0814692359417677e-06,0.0030365325510501,0.1000000014901161,0.0032446406811579,0,0.6948279738426208,0.9999777777775556,0.9999999999997778,0.0001380251487717
repvgg_a1,10,0.1,0.1,0.1691723129797506,0.0235625691711902,0.3495455682277679,0.9541999999980916,0.9985999999980028,0.1700503528118133,0.1680795848369598,0.6997969746589661,0.1000000014901161,0.0029421541839838,1,0.0005,43472234,False,True,cifar10_repvgg_a1,0.1700506508350372,0.1680798679590225,0.0029421839863061,0.0235625896602869,0.1000000014901161,0.1720396037284629,0,0.3495476245880127,0.9541999999980916,0.9985999999980028,0.6997991800308228,0.0018408179748803,0.0010123964166268,9.763462003320456e-07,0.0016631998587399,0.1000000014901161,0.0018405879023814,0,0.3510119318962097,0.9999999999997778,0.9999999999997778,2.3957694793352857e-05
