,model,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
0,resnet56,3,0.5,0.1,1.1383522635111918,0.06346796452999115,0.12198156118392944,0.68299999999317,0.91799999999082,1.138352394104004,0.6432764530181885,3.0452535152435303,0.10000000149011612,0.013438135385513306,0.1,1.0913083673643325,0.05640750750899315,0.1098899245262146,0.6969999999992255,0.9201111111100887,1.091308355331421,0.6417765021324158,3.1453311443328857,0.10000000149011612,0.013694748282432556
1,resnet56,3,1.0,0.1,1.176577317869847,0.08524749428033829,0.16273453831672668,0.6809999999931899,0.92299999999077,1.1765774488449097,0.6767160296440125,3.3936781883239746,0.10000000149011612,0.014839723706245422,0.1,1.1169953068931848,0.0705149918794632,0.1279262900352478,0.6977777777770025,0.9193333333323118,1.1169953346252441,0.6716969013214111,3.48028564453125,0.10000000149011612,0.015013165771961212
2,resnet56,4,2.0,0.1,1.390345440312549,0.14097121357917786,0.27604255080223083,0.68899999999311,0.90699999999093,1.3903456926345825,0.9143951535224915,6.335580348968506,0.10000000149011612,0.02637942135334015,0.1,1.3297990413301304,0.1326553225517273,0.25461190938949585,0.7037777777769958,0.9073333333323251,1.3297990560531616,0.8839557766914368,6.070494174957275,0.10000000149011612,0.025095492601394653
3,resnet56,3,0.1,0.1,1.1991212248099352,0.04496677219867706,0.12130463123321533,0.65199999999348,0.9099999999909,1.199121356010437,0.6187005043029785,2.67118763923645,0.10000000149011612,0.012038692831993103,0.1,1.1768800139596216,0.04120852053165436,0.16059011220932007,0.6664444444437039,0.9061111111101042,1.1768800020217896,0.633677065372467,2.88027024269104,0.10000000149011612,0.012822926044464111
4,resnet56,5,1.0,0.1,1.34758053862533,0.15825095772743225,0.3365747332572937,0.66699999999333,0.91599999999084,1.3475807905197144,0.8457016348838806,5.473517894744873,0.10000000149011612,0.022904500365257263,0.1,1.233417748034443,0.12003162503242493,0.23980695009231567,0.7155555555547605,0.9201111111100887,1.2334177494049072,0.8259022831916809,5.452268123626709,0.10000000149011612,0.02250407636165619
5,resnet56,3,0.01,0.1,1.3961626151658764,0.058493584394454956,0.09468841552734375,0.59799999999402,0.8809999999911899,1.3961628675460815,0.66746586561203,2.976957082748413,0.10000000149011612,0.013499051332473755,0.1,1.3545563868200987,0.04333978146314621,0.10838857293128967,0.6251111111104165,0.8808888888879101,1.3545563220977783,0.6775521636009216,3.120349168777466,0.10000000149011612,0.014067202806472778
6,resnet56,4,0.1,0.1,1.4157948352378036,0.16541995108127594,0.2926318645477295,0.6899999999931,0.90499999999095,1.415794849395752,0.9326937794685364,6.3931403160095215,0.10000000149011612,0.026934027671813965,0.1,1.2799615448399257,0.13860395550727844,0.2880379557609558,0.7263333333325263,0.9205555555545326,1.2799615859985352,0.8970552086830139,6.382663249969482,0.10000000149011612,0.02612181007862091
7,resnet56,4,0.001,0.1,1.4151371575939289,0.16792243719100952,0.4028925597667694,0.69299999999307,0.90899999999091,1.4151372909545898,0.9250931143760681,6.277659893035889,0.10000000149011612,0.026433855295181274,0.1,1.3169798968834838,0.14520928263664246,0.2888282537460327,0.7244444444436394,0.9206666666656437,1.3169798851013184,0.9192026853561401,6.615117073059082,0.10000000149011612,0.02709709107875824
8,resnet56,4,0.5,0.1,1.321976767671651,0.14537428319454193,0.300873339176178,0.70799999999292,0.91699999999083,1.321976900100708,0.8970399498939514,6.188903331756592,0.10000000149011612,0.0256851464509964,0.1,1.2533633695027597,0.13752302527427673,0.2878444790840149,0.7225555555547527,0.9232222222211963,1.2533632516860962,0.8688780665397644,6.027249336242676,0.10000000149011612,0.02469603717327118
9,resnet56,5,0.5,0.1,1.3099770414961769,0.13397203385829926,0.23628954589366913,0.69299999999307,0.91699999999083,1.3099769353866577,0.8399025797843933,5.330626010894775,0.10000000149011612,0.022480517625808716,0.1,1.213941625729762,0.12437470257282257,0.24267905950546265,0.7109999999992099,0.9219999999989755,1.2139416933059692,0.8084502816200256,5.179400444030762,0.10000000149011612,0.02152443677186966
