SGD-DA,SGD,SGD-L2-DA,SGD-L2,SGD-DA-IR,SGD-IR,SGD-L2-DA-IR,SGD-L2-IR
4.242510795593262,4.1466779708862305,3.9703919887542725,3.8653416633605957,4.398136615753174,4.469388961791992,4.374181270599365,4.330926418304443
3.6859843730926514,3.5124361515045166,3.650986671447754,3.4743058681488037,4.1382622718811035,4.176601409912109,4.096765041351318,4.0891876220703125
3.6992242336273193,2.984827756881714,3.365154504776001,2.9182777404785156,3.948503017425537,3.951824426651001,3.9957733154296875,3.9487085342407227
2.982509136199951,2.882521867752075,3.785794734954834,2.950120210647583,3.791185140609741,3.7511613368988037,3.7422409057617188,3.6130592823028564
2.559995651245117,2.5053679943084717,2.6021742820739746,2.7336254119873047,3.6060054302215576,3.518631935119629,3.657505750656128,3.4554638862609863
2.712398052215576,2.7317416667938232,2.9998068809509277,2.434030294418335,3.4773943424224854,3.365323305130005,3.6912553310394287,3.3098413944244385
2.436553955078125,2.2535476684570312,2.490098476409912,2.2150862216949463,3.2924416065216064,3.270256757736206,3.346400737762451,3.08920955657959
2.150787353515625,2.0326762199401855,2.2863564491271973,2.529428720474243,3.2506561279296875,3.0709943771362305,3.196627616882324,3.2118265628814697
2.117161750793457,2.088883876800537,2.3630595207214355,2.4759521484375,3.0592916011810303,3.0283162593841553,3.2259886264801025,2.730912923812866
2.04854679107666,2.405519962310791,2.1265101432800293,2.1985929012298584,2.9973952770233154,2.9376018047332764,3.0907726287841797,2.7383852005004883
2.119001626968384,2.3571574687957764,2.086052656173706,2.060612916946411,2.978571891784668,2.719684600830078,2.9476969242095947,2.663804769515991
1.8017637729644775,2.3866007328033447,2.172574043273926,2.0758705139160156,2.706481456756592,2.555426597595215,2.801421880722046,2.422837495803833
1.796571969985962,2.365633964538574,2.066446542739868,1.917586088180542,2.7543532848358154,2.5187418460845947,2.7884433269500732,2.4037222862243652
1.9302746057510376,2.5193963050842285,2.082068681716919,2.2199559211730957,2.7331900596618652,2.44291353225708,2.6287527084350586,2.466371774673462
1.8838815689086914,2.5519297122955322,2.66680645942688,2.1813859939575195,2.5039215087890625,2.451556921005249,2.518522024154663,2.3338301181793213
1.7601016759872437,2.525726079940796,2.183806896209717,1.9762866497039795,2.4611873626708984,2.526482105255127,2.4631292819976807,2.4458200931549072
1.6692802906036377,2.804579734802246,2.21045184135437,2.294063091278076,2.406226396560669,2.374622106552124,2.3190624713897705,2.407181978225708
1.7765132188796997,2.7017862796783447,1.9815928936004639,2.2041709423065186,2.3731799125671387,2.2600317001342773,2.6720833778381348,2.214115858078003
1.5739109516143799,2.894869565963745,1.907241702079773,2.195565700531006,2.1771795749664307,2.3128466606140137,2.2604918479919434,2.141444444656372
1.8173941373825073,2.7960190773010254,1.9708160161972046,2.586880683898926,2.1802051067352295,2.207951068878174,2.7302448749542236,2.317631959915161
1.6379079818725586,2.9754154682159424,2.206974983215332,2.0993385314941406,2.0493037700653076,2.1761651039123535,2.4190433025360107,2.253242015838623
1.719760537147522,3.1560072898864746,1.7129673957824707,2.361948013305664,2.0370852947235107,2.2542660236358643,2.335977792739868,2.385931968688965
