id,name,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/mce,test/alphaD,test/lambd,test/cummulant,test/top1_acc,test/top5_acc,test/L,test/var,test/ece
0,shufflenetv2_x0_5,4,0.001,0.1,0.3589857780797589,0.0464081689715385,0.2585839629173279,0.90499999999095,0.99999999999,0.3589857816696167,0.3315622806549072,1.7035633325576782,0.1000000014901161,0.0067647881805896,0.1,0.3363708618188323,0.2015661001205444,0.3139710128307342,0.1000000014901161,0.0056629627943038,0.9858599999998028,0.9999999999998,0.0477494709193706,0.0495468191802501,0.0131067018955945
1,shufflenetv2_x0_5,5,0.5,0.1,0.3215872613219387,0.034474954009056,0.2791433334350586,0.89099999999109,0.99799999999002,0.3215873539447784,0.2648483216762543,0.7891460061073303,0.1000000014901161,0.0034922435879707,0.1,0.3292533387393451,0.2317427396774292,0.278990626335144,0.1000000014901161,0.0040757320821285,0.9535399999998092,0.9997199999998,0.1424476504325866,0.1583998203277588,0.0278185475617647
2,shufflenetv2_x0_5,3,2.0,0.1,0.376693304586491,0.0236411690711975,0.1161136031150817,0.87699999999123,0.99299999999007,0.3766933083534241,0.2943145632743835,0.9363920092582704,0.1000000014901161,0.0041209757328033,0.1,0.3465198903737042,0.2056015431880951,0.2685040235519409,0.1000000014901161,0.0034182034432888,0.9293399999998142,0.9990599999998002,0.2123051285743713,0.2553417086601257,0.0341634452342987
3,shufflenetv2_x0_5,3,0.01,0.1,0.5210782237397182,0.0285623148083686,0.1329880654811859,0.81399999999186,0.99599999999004,0.5210781693458557,0.3430808782577514,1.028622269630432,0.1000000014901161,0.0046305768191814,0.1,0.5010671179555183,0.1983314007520675,0.3361888229846954,0.1000000014901161,0.0044238045811653,0.8412599999998318,0.9938799999998011,0.4597243070602417,0.6984528303146362,0.0166685841977596
4,shufflenetv2_x0_5,5,2.0,0.1,0.3385371829988292,0.0392784290015697,0.1742966473102569,0.88599999999114,0.99999999999,0.3385372459888458,0.2842386364936828,0.9214638471603394,0.1000000014901161,0.0040347166359424,0.1,0.3352828055206198,0.1187077760696411,0.28830486536026,0.1000000014901161,0.0044326335191726,0.9629199999998076,0.9998199999998,0.1155748665332794,0.1230168119072914,0.0257684160023927
5,shufflenetv2_x0_5,4,0.01,0.1,0.3694254421008048,0.046881653368473,0.3701741993427276,0.89699999999103,0.99599999999004,0.3694254457950592,0.3358442783355713,1.6164617538452148,0.1000000014901161,0.006533209234476,0.1,0.3359737955439948,0.1953631043434143,0.3161905407905578,0.1000000014901161,0.0059217549860477,0.9884599999998024,0.9999999999998,0.0415005907416343,0.0384574458003044,0.0134698124602437
6,shufflenetv2_x0_5,3,0.1,0.1,0.544049674792505,0.0186270922422409,0.1336491703987121,0.8059999999919399,0.99499999999005,0.5440497398376465,0.3263568580150604,0.8570910692214966,0.1000000014901161,0.0039379633963108,0.1,0.5614376194331804,0.0278679728507995,0.3476587533950805,0.1000000014901161,0.0044975280761718,0.8232999999998354,0.9927999999998016,0.5108861923217773,0.6827932000160217,0.029162960126996
7,shufflenetv2_x0_5,3,0.5,0.1,0.4255618410469634,0.017810208722949,0.4678640961647033,0.84799999999152,0.99299999999007,0.4255619049072265,0.29179447889328,0.7453464269638062,0.1000000014901161,0.0034159682691097,0.1,0.4173242378896117,0.04606793820858,0.2904620170593261,0.1000000014901161,0.0035225078463554,0.8844999999998232,0.9974599999998006,0.3342962265014648,0.4122257530689239,0.037060834467411
8,shufflenetv2_x0_5,4,2.0,0.1,0.388613279748053,0.0560530126094818,0.4110396802425384,0.89299999999107,0.99599999999004,0.3886133134365082,0.3482159078121185,1.685870885848999,0.1000000014901161,0.0068054758012294,0.1,0.3478672103195558,0.1545498967170715,0.3138425946235657,0.1000000014901161,0.0055003389716148,0.9796799999998042,0.9999999999998,0.0693658515810966,0.0581357255578041,0.0224912725389003
9,shufflenetv2_x0_5,5,1.0,0.1,0.3554561698653907,0.0329617485404014,0.2002163678407669,0.88499999999115,0.99899999999001,0.35545614361763,0.2954852879047394,1.015634536743164,0.1000000014901161,0.004373338073492,0.1,0.3526046239061008,0.0859109163284301,0.2938559353351593,0.1000000014901161,0.0043747685849666,0.9523999999998096,0.9995599999998002,0.1451761573553085,0.1483756303787231,0.0314812585711479
10,shufflenetv2_x0_5,5,0.01,0.1,0.3465892041833389,0.0362818241119384,0.3949799239635467,0.87799999999122,0.99699999999003,0.3465891778469085,0.2775580883026123,0.8440625667572021,0.1000000014901161,0.0037069469690322,0.1,0.3490274809562027,0.0954555869102478,0.2853718996047973,0.1000000014901161,0.0038511157035827,0.9261999999998148,0.9984199999998004,0.2155565768480301,0.3366515040397644,0.0157263204455375
