id,name,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
0,shufflenetv2_x0_5,4,0.001,0.1,0.35898577807975895,0.046408168971538544,0.2585839629173279,0.90499999999095,0.99999999999,0.3589857816696167,0.3315622806549072,1.7035633325576782,0.10000000149011612,0.006764788180589676,0.1,0.33637086181883236,0.046972207725048065,0.20156604051589966,0.9056666666656603,0.9967777777766702,0.33637088537216187,0.31397101283073425,1.3502042293548584,0.10000000149011612,0.005662962794303894
1,shufflenetv2_x0_5,5,0.5,0.1,0.3215872613219387,0.03447495400905609,0.2791433334350586,0.89099999999109,0.99799999999002,0.32158735394477844,0.2648483216762543,0.7891460061073303,0.10000000149011612,0.0034922435879707336,0.1,0.32925333873934515,0.0325172021985054,0.2317427396774292,0.8913333333323429,0.9969999999988921,0.3292533755302429,0.27899062633514404,0.9397352337837219,0.10000000149011612,0.004075732082128525
2,shufflenetv2_x0_5,3,2.0,0.1,0.37669330458649103,0.02364116907119751,0.11611360311508179,0.87699999999123,0.9929999999900699,0.3766933083534241,0.29431456327438354,0.9363920092582703,0.10000000149011612,0.004120975732803345,0.1,0.3465198903737042,0.016090288758277893,0.2056015431880951,0.8798888888879112,0.9962222222211152,0.34651991724967957,0.2685040235519409,0.7679733037948608,0.10000000149011612,0.003418203443288803
3,shufflenetv2_x0_5,3,0.01,0.1,0.5210782237397182,0.02856224775314331,0.1329880654811859,0.81399999999186,0.99599999999004,0.5210781693458557,0.34308087825775146,1.0286222696304321,0.10000000149011612,0.004630576819181442,0.1,0.5010671179555183,0.019324827939271927,0.19833140075206757,0.8257777777768601,0.9902222222211219,0.5010671615600586,0.33618882298469543,0.9768487811088562,0.10000000149011612,0.004423804581165314
4,shufflenetv2_x0_5,5,2.0,0.1,0.33853718299882923,0.03927842900156975,0.17429664731025696,0.88599999999114,0.99999999999,0.3385372459888458,0.28423863649368286,0.9214638471603394,0.10000000149011612,0.004034716635942459,0.1,0.3352828055206198,0.03386799991130829,0.11870783567428589,0.8928888888878967,0.9961111111100043,0.3352828323841095,0.28830486536026,1.0275615453720093,0.10000000149011612,0.0044326335191726685
5,shufflenetv2_x0_5,4,0.01,0.1,0.3694254421008048,0.04688165336847305,0.37017419934272766,0.89699999999103,0.99599999999004,0.3694254457950592,0.3358442783355713,1.6164617538452148,0.10000000149011612,0.0065332092344760895,0.1,0.3359737955439948,0.04773526266217232,0.1953631043434143,0.9072222222212141,0.9972222222211141,0.3359738290309906,0.31619054079055786,1.4239826202392578,0.10000000149011612,0.005921754986047745
6,shufflenetv2_x0_5,3,0.1,0.1,0.544049674792505,0.018627123907208443,0.13364917039871216,0.8059999999919399,0.99499999999005,0.5440497398376465,0.3263568580150604,0.8570910692214966,0.10000000149011612,0.003937963396310806,0.1,0.5614376194331804,0.014410801231861115,0.02786797285079956,0.8056666666657714,0.9907777777766769,0.5614376068115234,0.34765875339508057,0.9855579733848572,0.10000000149011612,0.004497528076171875
7,shufflenetv2_x0_5,3,0.5,0.1,0.42556184104696343,0.017810136079788208,0.46786409616470337,0.84799999999152,0.9929999999900699,0.42556190490722656,0.29179447889328003,0.7453464269638062,0.10000000149011612,0.003415968269109726,0.1,0.41732423788961176,0.0069692544639110565,0.04606793820858002,0.854777777776828,0.9946666666655614,0.4173242151737213,0.29046201705932617,0.7765318155288696,0.10000000149011612,0.0035225078463554382
8,shufflenetv2_x0_5,4,2.0,0.1,0.38861327974805304,0.05605301260948181,0.41103968024253845,0.89299999999107,0.99599999999004,0.3886133134365082,0.34821590781211853,1.685870885848999,0.10000000149011612,0.006805475801229477,0.1,0.34786721031955586,0.04492836445569992,0.15454989671707153,0.8966666666656703,0.9965555555544482,0.3478672206401825,0.3138425946235657,1.3133150339126587,0.10000000149011612,0.005500338971614838
9,shufflenetv2_x0_5,5,1.0,0.1,0.3554561698653907,0.03296174854040146,0.2002163678407669,0.88499999999115,0.99899999999001,0.35545614361763,0.2954852879047394,1.015634536743164,0.10000000149011612,0.00437333807349205,0.1,0.3526046239061008,0.027976036071777344,0.08591091632843018,0.8881111111101242,0.9958888888877823,0.35260462760925293,0.2938559353351593,1.0074279308319092,0.10000000149011612,0.0043747685849666595
