name,reg,lamb,sweep_model,_runtime,_step,_timestamp,_wandb,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:3,lamb:0.001",3,0.001,cifar100_resnet20,878.426311013,199,1743591174.9973752,{'runtime': 878},1.3352558612823486,0.0010655494406819344,1.0655494406819344e-06,0.03388591110706329,0.0010000000474974513,1.333208366895206,0,0.07581299543380737,0.6130999999993868,0.8841999999991157,2.7842705249786377,1.0927122831344604,0.0007551861344836652,7.551861926913261e-07,0.06450613588094711,0.0010000000474974513,1.0923169327684628,0,0.11472368240356444,0.6860399999998629,0.920079999999816,1.7336955070495603
"resnet20-reg:8,lamb:0.01",8,0.01,cifar100_resnet20,2312.041124761,199,1743592611.0463183,{'runtime': 2312},1.2601985931396484,0.01279246062040329,0.0001279246062040329,0.008080089464783669,0.009999999776482582,1.25982649592852,0,0.02730366587638855,0.6405999999993593,0.8943999999991056,2.5790770053863525,0.9921088218688964,0.08347175270318985,0.011108219623565674,0.08459627628326416,0.13307759165763855,0.9919175763621572,0,0.1284160017967224,0.7094599999998581,0.9385599999998124,1.3741248846054075
"resnet20-reg:3,lamb:1.0",3,1.0,cifar100_resnet20,896.168827679,199,1743591195.724674,{'runtime': 896},1.196161150932312,0.6065710783004761,0.6065710783004761,0.02721831575036049,1.0,1.1977011156068134,0,0.05912357568740845,0.6522999999993476,0.907799999999092,2.6964592933654785,0.7261316776275635,0.24401021003723145,0.24401021003723145,0.11825621873140336,1.0,0.7259085579423918,0,0.18172121047973633,0.7882999999998423,0.9746999999998052,0.8187516927719116
"resnet20-reg:4,lamb:0.001",4,0.001,cifar100_resnet20,887.63072594,199,1743591187.732108,{'runtime': 887},1.232309103012085,0.0020693987607955933,2.0693987607955933e-06,0.10587380081415176,0.0010000000474974513,1.2246182781376589,0,0.1743537187576294,0.6847999999993152,0.9094999999990904,4.288447856903076,0.3157312870025635,6.507616490125656e-05,6.507616490125656e-08,0.08145497739315033,0.0010000000474974513,0.3154038437006072,0,0.1989290714263916,0.915159999999817,0.9942199999998012,0.35875552892684937
"resnet20-reg:8,lamb:2.0",8,2.0,cifar100_resnet20,1899.402749491,199,1743592199.197297,{'runtime': 1899},1.3010333776474,0.8169611692428589,1.6339223384857178,0.0351388156414032,2.0,1.3003005054322567,0,0.06630334258079529,0.6308999999993691,0.8983999999991015,2.890512704849243,0.8523582220077515,0.7324144840240479,21.652671813964844,0.11661135405302048,29.563413619995117,0.8519339113992906,0,0.17294979095458984,0.7537599999998493,0.960699999999808,1.0644991397857666
"resnet20-reg:4,lamb:0.1",4,0.1,cifar100_resnet20,883.397705943,199,1743591183.504628,{'runtime': 883},1.2307566404342651,0.181991383433342,0.0181991383433342,0.10566599667072296,0.10000000149011612,1.2278907221466215,0,0.19184213876724243,0.6790999999993208,0.912899999999087,4.254359245300293,0.3167684078216553,0.014634840190410614,0.0014634840190410614,0.08999937772750854,0.10000000149011612,0.3165251725020749,0,0.19779211282730105,0.9159599999998168,0.9962999999998008,0.3105117082595825
"resnet20-reg:4,lamb:0.01",4,0.01,cifar100_resnet20,875.599015317,199,1743591175.7160358,{'runtime': 875},1.2390578985214231,0.02112044021487236,0.0002112044021487236,0.10215876251459122,0.009999999776482582,1.2311381664774557,0,0.20354503393173215,0.6856999999993142,0.907999999999092,4.290685653686523,0.3101014494895935,0.0016831327229738235,1.6831327229738235e-05,0.08172197639942169,0.009999999776482582,0.3099579716665397,0,0.19846343994140625,0.9175799999998164,0.9947599999998012,0.34907713532447815
"resnet20-reg:3,lamb:2.0",3,2.0,cifar100_resnet20,891.777233233,199,1743591191.8254223,{'runtime': 891},1.197459697723389,0.7965579032897949,1.5931158065795898,0.033554933965206146,2.0,1.1983558979614812,0,0.09229238331317902,0.6603999999993395,0.9075999999990924,2.845735788345337,0.6426851153373718,0.30434292554855347,0.6086858510971069,0.1210075169801712,2.0,0.6423399372040718,0,0.19515186548233032,0.8171599999998366,0.979919999999804,0.7194911241531372
"resnet20-reg:4,lamb:2.0",4,2.0,cifar100_resnet20,891.909954261,199,1743591191.951141,{'runtime': 891},1.2294950485229492,0.91318941116333,1.82637882232666,0.09763747453689577,2.0,1.2286371436623764,0,0.15517538785934448,0.6742999999993257,0.911899999999088,3.995418548583984,0.3094008266925812,0.12448766827583312,0.24897533655166623,0.1067308858036995,2.0,0.3093413452707082,0,0.23126006126403809,0.9236199999998154,0.9968199999998006,0.2571292519569397
"resnet20-reg:4,lamb:0.5",4,0.5,cifar100_resnet20,886.94726983,199,1743591187.0616314,{'runtime': 886},1.2240740060806274,0.5445295572280884,0.2722647786140442,0.0948755294084549,0.5,1.230318066170196,0,0.15259701013565063,0.6749999999993249,0.9083999999990916,3.990733385086059,0.3181319832801819,0.0521579384803772,0.0260789692401886,0.10339857637882233,0.5,0.3180326233094575,0,0.21876704692840576,0.9178199999998164,0.9973799999998004,0.2617309093475342
