name,reg,lamb,sweep_model,_runtime,_step,_timestamp,_wandb,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"resnet20-reg:8,lamb:0.5",8,0.5,cifar10_resnet20,1902.905232357,199,1743467555.5769262,{'runtime': 1902},0.2724972069263458,0.13477137684822085,0.06738568842411041,0.03626853227615357,0.5,0.2730211890551368,0,0.2695291340351105,0.9227999999990772,0.9977999999990022,1.120441436767578,0.036619774997234344,0.036147017031908035,51.07049560546875,0.014408133924007416,1412.8551025390625,0.03669296864385019,0,0.2268424928188324,0.990879999999802,0.9999399999998,0.031128372997045517
"resnet20-reg:4,lamb:1.0",4,1.0,cifar10_resnet20,895.668476801,199,1743466548.4808755,{'runtime': 895},0.27630844712257385,0.18690243363380432,0.18690243363380432,0.03830284625291824,1.0,0.27191976544168506,0,0.2922883629798889,0.9249999999990748,0.9976999999990024,1.228825569152832,0.01242422591894865,0.0015838099643588066,0.0015838099643588066,0.009114496409893036,1.0,0.012573780085040892,0,0.6261987686157227,0.9987599999998004,0.9999999999998,0.004220511764287949
"resnet20-reg:3,lamb:1.0",3,1.0,cifar10_resnet20,884.851392112,199,1743466537.2902126,{'runtime': 884},0.25130823254585266,0.14475038647651672,0.14475038647651672,0.02443159744143486,1.0,0.2472746349252972,0,0.27846983075141907,0.9196999999990804,0.9985999999990012,0.7651538252830505,0.06904441118240356,0.018548309803009033,0.018548309803009033,0.022845707833766937,1.0,0.06908396366935288,0,0.1555362343788147,0.979899999999804,0.9999399999998,0.05751056969165802
"resnet20-reg:3,lamb:0.5",3,0.5,cifar10_resnet20,882.310481292,199,1743466534.721419,{'runtime': 882},0.2755322754383087,0.11253216862678528,0.05626608431339264,0.025964803993701935,0.5,0.27376828559349375,0,0.2196799069643021,0.9104999999990896,0.9977999999990022,0.798673689365387,0.10449982434511185,0.021068580448627472,0.010534290224313736,0.02475070208311081,0.5,0.10449190142658572,0,0.19940225780010223,0.9676999999998064,0.9996999999998,0.11407653987407684
"resnet20-reg:4,lamb:0.5",4,0.5,cifar10_resnet20,894.670787643,199,1743466547.4894695,{'runtime': 894},0.2634654641151428,0.13462978601455688,0.06731489300727844,0.03671716898679733,0.5,0.25777395086437865,0,0.2797127664089203,0.924899999999075,0.9972999999990028,1.1443618535995483,0.01198376901447773,0.0008982587605714798,0.0004491293802857399,0.008612376637756824,0.5,0.012072092206646788,0,0.25820136070251465,0.9986999999998004,0.9999999999998,0.00425781263038516
"resnet20-reg:8,lamb:2.0",8,2.0,cifar10_resnet20,1887.7601964,199,1743467540.446056,{'runtime': 1887},0.2702500820159912,0.2084486484527588,0.4168972969055176,0.03612780570983887,2.0,0.2679386480972876,0,0.277934730052948,0.9213999999990784,0.9982999999990017,1.0728029012680054,0.039059463888406754,0.03904029726982117,3903.386962890625,0.014442496001720428,99983.53125,0.03907809901441049,0,0.2074582576751709,0.9896799999998022,0.9999599999998,0.0331161692738533
"resnet20-reg:4,lamb:2.0",4,2.0,cifar10_resnet20,890.07533227,199,1743466542.750762,{'runtime': 890},0.269701212644577,0.2112290561199188,0.4224581122398377,0.03761269152164459,2.0,0.2643390557999183,0,0.19023650884628296,0.9233999999990764,0.9976999999990024,1.175100564956665,0.01221840176731348,0.0025152424350380898,0.0050304848700761795,0.008880706503987312,2.0,0.012266595315094506,0,0.6090875864028931,0.9985599999998004,0.9999999999998,0.003881991608068347
"resnet20-reg:4,lamb:0.1",4,0.1,cifar10_resnet20,899.179344487,199,1743466552.0024426,{'runtime': 899},0.27185845375061035,0.05177903920412064,0.005177903920412064,0.03910313919186592,0.10000000149011612,0.2667570052932882,0,0.207913875579834,0.927799999999072,0.9975999999990024,1.2771450281143188,0.010965473018586636,0.0002271006815135479,2.271006815135479e-05,0.007488882634788752,0.10000000149011612,0.0109782444393097,0,0.3041432201862335,0.9987199999998004,0.9999999999998,0.004682326689362526
"resnet20-reg:8,lamb:0.01",8,0.01,cifar10_resnet20,1893.999000194,199,1743467546.671356,{'runtime': 1894},0.2852436602115631,0.003623659722507,3.623659722507e-05,0.02247629500925541,0.009999999776482582,0.28305327661709717,0,0.07936763763427734,0.901899999999098,0.9973999999990024,0.7332907915115356,0.1442512571811676,0.02885894849896431,0.013253197073936462,0.026620982214808464,0.45924046635627747,0.14428783686361524,0,0.10852110385894775,0.9524399999998096,0.9995999999998,0.16569171845912933
"resnet20-reg:3,lamb:0.01",3,0.01,cifar10_resnet20,898.017154148,199,1743466550.4487686,{'runtime': 898},0.3502129912376404,0.00431528314948082,4.31528314948082e-05,0.028601111844182014,0.009999999776482582,0.3445983071881324,0,0.07454949617385864,0.8819999999991179,0.9967999999990032,0.8677107095718384,0.2437494546175003,0.001897616311907768,1.897616311907768e-05,0.013979889452457428,0.009999999776482582,0.24363082722106927,0,0.8009544014930725,0.9163999999998168,0.9979799999998004,0.39122235774993896
"resnet20-reg:4,lamb:0.001",4,0.001,cifar10_resnet20,1535.011008991,199,1743467188.0379367,{'runtime': 1535},0.2799420952796936,0.0005155452527105808,5.155452527105808e-07,0.03819620981812477,0.0010000000474974513,0.27889689237357507,0,0.2798287868499756,0.9272999999990726,0.9975999999990024,1.3256433010101318,0.010541162453591824,5.074434375273995e-05,5.074434739071877e-08,0.007322286255657673,0.0010000000474974513,0.010569191470735165,0,0.4272836446762085,0.9987199999998004,0.9999999999998,0.0039565684273839
"resnet20-reg:8,lamb:0.1",8,0.1,cifar10_resnet20,1895.829264101,199,1743467548.4726255,{'runtime': 1895},0.28245168924331665,0.042335595935583115,0.0042335595935583115,0.03763563558459282,0.10000000149011612,0.277079177112898,0,0.20127974450588224,0.9131999999990869,0.997899999999002,1.0020558834075928,0.04953564703464508,0.03757349029183388,0.5778625011444092,0.017426442354917526,15.379526138305664,0.04945690168423692,0,0.1561514139175415,0.9867599999998028,0.9999599999998,0.04538127779960632
"resnet20-reg:8,lamb:0.001",8,0.001,cifar10_resnet20,1897.1778594,199,1743467549.855384,{'runtime': 1897},0.30441537499427795,0.00019330762734171003,1.9330764189362529e-07,0.01920013502240181,0.0010000000474974513,0.30162631377487703,0,0.09256350994110107,0.8967999999991031,0.9969999999990028,0.7392013669013977,0.1991633027791977,0.012245594523847105,0.001104867085814476,0.020777292549610134,0.09022568166255952,0.1992113826960866,0,0.19183418154716492,0.9330799999998134,0.9985599999998004,0.2927333116531372
"resnet20-reg:8,lamb:1.0",8,1.0,cifar10_resnet20,1898.559018417,199,1743467551.2324028,{'runtime': 1898},0.2871522009372711,0.1898459494113922,0.1898459494113922,0.03934166207909584,1.0,0.2856514997066194,0,0.17561709880828855,0.9187999999990812,0.9975999999990024,1.213949203491211,0.035425443202257156,0.035368990153074265,793.8342895507812,0.013446131721138954,22444.359375,0.03538953524130419,0,0.20745518803596497,0.990779999999802,0.9999799999998,0.028711427003145214
"resnet20-reg:3,lamb:0.001",3,0.001,cifar10_resnet20,912.687309287,199,1743466565.7406316,{'runtime': 912},0.3427777886390686,0.0004087341658305377,4.087341949343682e-07,0.02496202476322651,0.0010000000474974513,0.33893572903146746,0,0.1620769202709198,0.8854999999991144,0.9965999999990032,0.8662285208702087,0.23673148453235623,0.00022025777434464544,2.202577888965607e-07,0.015108969062566755,0.0010000000474974513,0.23677169864891628,0,0.09236371517181396,0.919679999999816,0.9978799999998004,0.38859573006629944
"resnet20-reg:4,lamb:0.01",4,0.01,cifar10_resnet20,1343.26125583,199,1743466998.233807,{'runtime': 1343},0.27748948335647583,0.0063598621636629105,6.35986216366291e-05,0.03761105611920357,0.009999999776482582,0.27144560867653633,0,0.27025270462036133,0.9266999999990732,0.997999999999002,1.2952265739440918,0.010505938902497292,1.5521800378337502e-05,1.5521800378337502e-07,0.007299764081835747,0.009999999776482582,0.010539483852213292,0,0.391082763671875,0.9987999999998004,0.9999999999998,0.004281933419406414
"resnet20-reg:3,lamb:0.1",3,0.1,cifar10_resnet20,911.901860137,199,1743466566.3471637,{'runtime': 911},0.310212105512619,0.033694226294755936,0.0033694226294755936,0.018549244850873947,0.10000000149011612,0.3093642278732319,0,0.8008472919464111,0.8962999999991036,0.9967999999990032,0.7664622664451599,0.1911725252866745,0.012520719319581984,0.0012520719319581983,0.0217168889939785,0.10000000149011612,0.19129045637374836,0,0.8201223015785217,0.9357599999998129,0.9989799999998002,0.27141624689102173
"resnet20-reg:3,lamb:2.0",3,2.0,cifar10_resnet20,1316.886231716,199,1743466971.373045,{'runtime': 1316},0.26236438751220703,0.19456100463867188,0.38912200927734375,0.030187241733074188,2.0,0.2573173014735122,0,0.1371937394142151,0.9194999999990804,0.9980999999990018,0.8814619183540344,0.05278041586279869,0.02049281820654869,0.04098563641309738,0.019805623218417168,2.0,0.052704413124161006,0,0.325703501701355,0.9860799999998028,0.9999799999998,0.04308181256055832
resnet20-baseline,0,0.1,cifar10_resnet20,892.673414952,199,1743466547.2845244,{'runtime': 892},0.28432729840278625,0.05499722436070442,0.005499722436070442,0.03849794343113899,0.10000000149011612,0.28467158519065383,0,0.1765831708908081,0.9265999999990732,0.9973999999990024,1.3522474765777588,0.010811670683324335,0.00021634972654283047,2.1634972654283047e-05,0.007150810211896896,0.10000000149011612,0.010825621481546564,0,0.7831416130065918,0.9985599999998004,0.9999999999998,0.004449170548468828
"resnet32-reg:3,lamb:0.5",3,0.5,cifar10_resnet32,1138.923041828,199,1743467681.5679688,{'runtime': 1139},0.24442026019096377,0.09939882159233092,0.049699410796165466,0.024500727653503414,0.5,0.24454918683912075,0,0.2827126085758209,0.9189999999990808,0.9984999999990014,0.6951221227645874,0.07244284451007843,0.013408496975898744,0.006704248487949371,0.020084887742996216,0.5,0.07237574453951673,0,0.26911523938179016,0.9781799999998044,0.9999199999998,0.07141736149787903
"resnet32-reg:3,lamb:1.0",3,1.0,cifar10_resnet32,1141.395237113,199,1743467686.4579518,{'runtime': 1141},0.252092182636261,0.15581876039505005,0.15581876039505005,0.02885916829109192,1.0,0.25187642120978554,0,0.2554580271244049,0.9243999999990756,0.997899999999002,0.8921517133712769,0.04194159060716629,0.010892815887928007,0.010892815887928007,0.015684369951486588,1.0,0.041888890595756074,0,0.14889311790466309,0.9889399999998024,0.9999799999998,0.03532290831208229
"resnet32-reg:4,lamb:2.0",4,2.0,cifar10_resnet32,1145.899957563,199,1743467706.366796,{'runtime': 1145},0.2870088815689087,0.2416006326675415,0.483201265335083,0.0441720187664032,2.0,0.2990794546154481,0,0.4025281369686126,0.932899999999067,0.9981999999990018,1.6220680475234983,0.005412687081843615,0.0011511933989822865,0.002302386797964573,0.003582301316782832,2.0,0.0054514314923077446,0,0.2094324231147766,0.9992399999998002,0.9999999999998,0.0019663083367049694
