id,name,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/mce,test/alphaD,test/lambd,test/cummulant,test/top1_acc,test/top5_acc,test/L,test/var,test/ece
0,resnet56,3,0.5,0.1,1.1383522635111918,0.0634679645299911,0.1219815611839294,0.68299999999317,0.91799999999082,1.138352394104004,0.6432764530181885,3.0452535152435303,0.1000000014901161,0.0134381353855133,0.1,1.0913083673643325,0.1098899245262146,0.6417765021324158,0.1000000014901161,0.0136947482824325,0.8678199999998265,0.9914799999998016,0.4496678113937378,0.4824728965759277,0.0927695482969284
1,resnet56,3,1.0,0.1,1.176577317869847,0.0852474942803382,0.1627345383167266,0.6809999999931899,0.92299999999077,1.1765774488449097,0.6767160296440125,3.3936781883239746,0.1000000014901161,0.0148397237062454,0.1,1.1169953068931848,0.1279262900352478,0.6716969013214111,0.1000000014901161,0.0150131657719612,0.9086799999998184,0.9963799999998008,0.3361567854881286,0.3008369207382202,0.0984336882829666
2,resnet56,4,2.0,0.1,1.390345440312549,0.1409712135791778,0.2760425508022308,0.68899999999311,0.90699999999093,1.3903456926345823,0.9143951535224916,6.335580348968506,0.1000000014901161,0.0263794213533401,0.1,1.3297990413301304,0.2546119093894958,0.8839557766914368,0.1000000014901161,0.0250954926013946,0.9957999999998008,0.9999999999998,0.0553465113043785,0.0178032461553812,0.0421065837144851
3,resnet56,3,0.1,0.1,1.1991212248099352,0.044966772198677,0.1213046312332153,0.65199999999348,0.9099999999909,1.199121356010437,0.6187005043029785,2.67118763923645,0.1000000014901161,0.0120386928319931,0.1,1.1768800139596216,0.16059011220932,0.633677065372467,0.1000000014901161,0.0128229260444641,0.7720599999998456,0.960039999999808,0.7660225629806519,1.1399943828582764,0.071441002190113
4,resnet56,5,1.0,0.1,1.34758053862533,0.1582509577274322,0.3365747332572937,0.66699999999333,0.91599999999084,1.3475807905197144,0.8457016348838806,5.473517894744873,0.1000000014901161,0.0229045003652572,0.1,1.233417748034443,0.2398069500923156,0.8259022831916809,0.1000000014901161,0.0225040763616561,0.9829599999998034,0.9998599999998,0.1011519432067871,0.0538511760532856,0.0575058460235595
5,resnet56,3,0.01,0.1,1.3961626151658764,0.0584935843944549,0.0946884155273437,0.59799999999402,0.8809999999911899,1.3961628675460815,0.66746586561203,2.976957082748413,0.1000000014901161,0.0134990513324737,0.1,1.3545563868200987,0.1083885729312896,0.6775521636009216,0.1000000014901161,0.0140672028064727,0.6987599999998603,0.9270599999998146,1.0386184453964231,1.6996781826019287,0.0576045215129852
6,resnet56,4,0.1,0.1,1.4157948352378036,0.1654199510812759,0.2926318645477295,0.6899999999931,0.90499999999095,1.415794849395752,0.9326937794685364,6.3931403160095215,0.1000000014901161,0.0269340276718139,0.1,1.2799615448399255,0.2880379557609558,0.8970552086830139,0.1000000014901161,0.0261218100786209,0.9972999999998006,0.9999999999998,0.0312723815441131,0.0118319913744926,0.0231711827218532
7,resnet56,4,0.001,0.1,1.4151371575939289,0.1679224371910095,0.4028925597667694,0.69299999999307,0.90899999999091,1.4151372909545898,0.925093114376068,6.277659893035889,0.1000000014901161,0.0264338552951812,0.1,1.3169798968834838,0.2888282537460327,0.91920268535614,0.1000000014901161,0.0270970910787582,0.9972799999998004,0.9999999999998,0.0275817848742008,0.0098403189331293,0.0201272442936897
8,resnet56,4,0.5,0.1,1.321976767671651,0.1453742831945419,0.300873339176178,0.70799999999292,0.91699999999083,1.321976900100708,0.8970399498939514,6.188903331756592,0.1000000014901161,0.0256851464509964,0.1,1.2533633695027595,0.2878444790840149,0.8688780665397644,0.1000000014901161,0.0246960371732711,0.9973399999998006,0.9999999999998,0.0342102833092212,0.010237799026072,0.0263588018715381
9,resnet56,5,0.5,0.1,1.3099770414961769,0.1339720338582992,0.2362895458936691,0.69299999999307,0.91699999999083,1.3099769353866575,0.8399025797843933,5.330626010894775,0.1000000014901161,0.0224805176258087,0.1,1.213941625729762,0.2426790595054626,0.8084502816200256,0.1000000014901161,0.0215244367718696,0.980259999999804,0.9998799999998,0.1086726859211921,0.0644177719950676,0.0574468448758125
10,resnet56,5,2.0,0.1,1.3932280401143506,0.1415151357650756,0.2600740194320678,0.65499999999345,0.90699999999093,1.3932280540466309,0.8323509693145752,5.0338287353515625,0.1000000014901161,0.0216121971607208,0.1,1.2628019371836514,0.2014505863189697,0.8104361295700073,0.1000000014901161,0.0213397741317749,0.980599999999804,0.9996799999998002,0.1183035597205162,0.0622912757098674,0.0675388649106025
