name,wd,reg,lamb,celoss,job_id,data_aug,sweep_model,eval/L,eval/alphaD,eval/cummulant,eval/ece,eval/lambd,eval/loss,eval/lr,eval/mce,eval/top1_acc,eval/top5_acc,eval/var,train/L,train/alphaD,train/cummulant,train/ece,train/lambd,train/loss,train/lr,train/mce,train/top1_acc,train/top5_acc,train/var
"vgg11_bn-reg:3,lamb:0.001",0.0005,3,0.001,0,42297269_0,True,cifar10_vgg11_bn,0.6314168572425842,0.02889544703066349,1.0381336323916912e-06,0.16922155022621155,0.0010000000474974513,0.07082279414122673,0,0.25612908601760864,0.8305999999983388,0.991999999998016,0.4297155737876892,0.06771582365036011,0.007870192639529705,4.954927135258913e-09,0.2170562446117401,0.0010000000474974513,0.0677232457371049,0,0.2990052103996277,0.8445777777775901,0.9931777777775572,0.03329794853925705
"vgg11_bn-reg:3,lamb:0.5",0.0005,3,0.5,0,42297269_3,True,cifar10_vgg11_bn,0.5491770505905151,0.36696383357048035,0.035519540309906006,0.18661707639694217,0.5,0.05335790232881316,0,0.4886323809623718,0.8719999999982561,0.9953999999980092,0.3482351303100586,0.03966430947184563,0.039666518568992615,0.0017972197383642197,0.23403644561767575,0.5,0.03965636909798694,0,0.3265858292579651,0.8982666666664672,0.997666666666445,0.016216129064559937
"vgg11_bn-reg:3,lamb:1.0",0.0005,3,1.0,0,42297269_4,True,cifar10_vgg11_bn,0.5051011443138123,0.3831492066383362,0.1075076460838318,0.18265435099601743,1.0,0.04560122785672362,0,0.25619858503341675,0.887999999998224,0.9965999999980067,0.3213266432285309,0.02595575898885727,0.02596361003816128,0.0035787448287010193,0.24342134594917297,1.0,0.02595293664077833,0,0.34681883454322815,0.926577777777572,0.9992222222220002,0.008647137321531773
"vgg11_bn-reg:3,lamb:0.01",0.0005,3,0.01,0,42297269_1,True,cifar10_vgg11_bn,0.6474230289459229,0.08981438726186752,2.262229099869728e-05,0.17119576036930084,0.009999999776482582,0.0740142788367941,0,0.2408045530319214,0.8267999999983464,0.990999999998018,0.4445655047893524,0.07394565641880035,0.024194547906517982,2.2663152776658535e-06,0.2212962955236435,0.009999999776482582,0.07396091061054692,0,0.29389697313308716,0.8350222222220367,0.9919777777775574,0.03692428022623062
"vgg11_bn-reg:3,lamb:0.1",0.0005,3,0.1,0,42297269_2,True,cifar10_vgg11_bn,0.6190567016601562,0.24093568325042725,0.0019481703639030457,0.17726534605026245,0.10000000149011612,0.06568618655645754,0,0.2505457401275635,0.8403999999983193,0.9945999999980109,0.4062580168247223,0.06335237622261047,0.0511569045484066,0.00014493800699710846,0.2255532145500183,0.10000000149011612,0.06333970976633557,0,0.30359697341918945,0.8528888888886994,0.9941555555553347,0.029684800654649734
"vgg11_bn-reg:3,lamb:2.0",0.0005,3,2.0,0,42297269_5,True,cifar10_vgg11_bn,0.4821479320526123,0.40230053663253784,0.2882680892944336,0.1877468973398209,2.0,0.04043616203432064,0,0.3062698245048523,0.8981999999982037,0.9953999999980092,0.2919125556945801,0.015805769711732864,0.015824168920516968,0.0061284080147743225,0.2495299130678177,2.0,0.015804737159846316,0,0.48424553871154785,0.950822222222011,0.9998666666664444,0.003948396071791649
"vgg11_bn-reg:4,lamb:0.001",0.0005,4,0.001,0,42297269_6,True,cifar10_vgg11_bn,0.9798696041107178,0.016458546742796898,4.461035132408142e-07,0.5173622369766235,0.0010000000474974513,0.04675031786309659,0,0.5467875003814697,0.9255999999981488,0.995999999998008,0.14069820940494537,0.00033362797694280744,0.00017018265498336405,3.33628008775122e-07,0.5599296689033508,0.0010000000474974513,0.00033377971128483765,0,0.7124490737915039,0.9998444444442224,0.9999999999997778,3.195943281752989e-05
"vgg11_bn-reg:4,lamb:0.01",0.0005,4,0.01,0,42297269_7,True,cifar10_vgg11_bn,0.9863186478614808,0.04963163658976555,7.914379239082336e-06,0.5187028646469116,0.009999999776482582,0.04692728843056234,0,0.5618956089019775,0.9241999999981516,0.9963999999980072,0.14008013904094696,0.00032547878799960017,0.0003092523547820747,3.937648216378875e-07,0.5640262961387634,0.009999999776482582,0.00032558864469892443,0,0.8066727519035339,0.9998444444442224,0.9999999999997778,2.150831278413534e-05
"vgg13_bn-reg:3,lamb:0.001",0.0005,3,0.001,0,42297269_0,True,cifar10_vgg13_bn,2.3417305946350098,0.011336739175021648,4.6030618250370026e-07,0.059559211134910583,0.0010000000474974513,0.9061005796431943,0,0.059559211134910583,0.096999999999806,0.4917999999990164,0.06376265734434128,0.8993415832519531,0.01138225570321083,9.803916327655315e-07,0.056290045380592346,0.0010000000474974513,0.8993582938371438,0,0.056290045380592346,0.10033333333331104,0.5009111111109998,0.06430326402187347
"vgg13_bn-reg:3,lamb:0.5",0.0005,3,0.5,0,42297269_3,True,cifar10_vgg13_bn,0.4914873540401459,0.3271470367908478,0.03194133937358856,0.1734226942062378,0.5,0.04532144048779107,0,0.25599366426467896,0.885999999998228,0.9951999999980096,0.31760936975479126,0.031157372519373897,0.031160105019807816,0.001346050761640072,0.23628266155719757,0.5,0.03115467103656148,0,0.33858752250671387,0.9185333333331293,0.9985555555553336,0.011984219774603844
"vgg13_bn-reg:3,lamb:1.0",0.0005,3,1.0,0,42297269_4,True,cifar10_vgg13_bn,0.46000584959983826,0.3306048512458801,0.0903683602809906,0.18463051319122312,1.0,0.03783674042642727,0,0.26153767108917236,0.9027999999981944,0.9965999999980067,0.27368882298469543,0.02009440027177334,0.020102648064494133,0.002593522891402245,0.2471486330032349,1.0,0.02009547938774883,0,0.3593292236328125,0.942444444444235,0.999622222222,0.00610696105286479
"vgg13_bn-reg:3,lamb:0.1",0.0005,3,0.1,0,42297269_2,True,cifar10_vgg13_bn,0.5728382468223572,0.2300388067960739,0.0018572397530078888,0.17912328243255615,0.10000000149011612,0.060289973549202146,0,0.264443576335907,0.8603999999982792,0.9931999999980136,0.3887960910797119,0.05310843139886856,0.0448463074862957,0.00012190127745270728,0.2269935607910156,0.10000000149011612,0.0531072080613165,0,0.31223589181900024,0.8741999999998058,0.9958444444442232,0.02497925795614719
